財務
コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
1301,2021/03,116331000000,39975000000,35300000000,28737000000,8056000000,32720000000,3753.75,34.7
1332,2021/03,475468000000,187779000000,159648000000,107781000000,68577000000,112230000000,544.54,35.6
1333,2021/03,532866000000,166660000000,138081000000,76406000000,135920000000,123917000000,2707.91,26.7
1352,2021/03,41388000000,7855000000,6946000000,3243000000,1900000000,18787000000,834.05,16.9
1375,2021/03,35644000000,9230000000,9233000000,15117000000,-,18351000000,231.34,25.9
1376,2021/05,47452032000,21696954000,20838179000,17711991000,-,-,1859.82,45.7
1377,2021/05,133077000000,111898000000,110905000000,91099000000,1894000000,894000000,2503.8,83.9
1379,2021/03,100237000000,54140000000,52964000000,45267000000,3931000000,11739000000,1720.35,54
1380,2021/03,5378494000,1920136000,1851099000,589388000,1009341000,1119117000,460.17,35.7
1381,2021/06,20197000000,17328000000,17218000000,16339000000,-,-,3085.37,85.8
1382,2021/06,974949000,577179000,577131000,-276090000,-,16004000,757.71,59.2
1383,2020/10,4662355000,1138162000,908080000,331309000,927930000,789277000,715.12,19.5
1384,2021/03,14252547000,9051588000,8878292000,7069112000,600000000,1675263000,1070.06,63.5
1400,2020/12,3167994000,2720779000,2531547000,-423522000,2600000,70786000,201.39,79.9
1401,2021/05,3740227000,2737582000,2706641000,1915215000,-,-,354.06,73.2
1407,2021/08,97278000000,25331000000,25356000000,25824000000,20725000000,32409000000,622.66,26
1413,2020/12,73880419000,25579540000,21555359000,22901725000,5700000000,11386240000,1702.5,29.1
1414,2021/06,109807000000,90960000000,90233000000,52975000000,-,-,1688.63,82.8
1417,2021/03,358751000000,231323000000,220922000000,155239000000,186000000,-,2232.24,63.1
1418,2021/02,8327884000,3845631000,3922952000,451858000,650000000,571128000,199.68,46.2
1419,2021/05,100216000000,26214000000,25924000000,17334000000,12588000000,2140000000,887.43,26.1
1420,2021/03,52611842000,16922395000,16936396000,8465977000,13140000000,5989000000,1531.73,32.2
1429,2020/12,16021943000,7638279000,7638492000,5059944000,2300000000,66600000,236.46,47.7
1430,2021/05,17427983000,6282106000,6275486000,5780723000,-,3675000000,520.77,36
1431,2021/06,7604797000,3371774000,3371774000,1676411000,1159250000,759500000,149.35,44.3
1433,2021/01,6030762000,2595318000,2568071000,1973047000,-,2277399000,315.08,43
1434,2021/08,11795000000,3994000000,3838784000,1942834000,1387124000,2857085000,570.33,32.1
1435,2020/12,9376073000,7235439000,7246035000,-7252197000,-,-,79.4,77.2
1436,2021/04,8224521000,4356761000,4351997000,2487869000,1079165000,941738000,1038.8,52.9
1438,2021/09,4263000000,3061000000,3057567000,2323677000,200000000,33024000,955.2,71.8
1439,2020/12,4270499000,1415479000,1389296000,928761000,75000000,1258001000,1076.19,32.5
1443,2021/03,16288789000,9376875000,8845961000,6252643000,825263000,2052363000,577.53,57.6
1444,2021/07,1255153000,1009281000,1009281000,676776000,-,-,1086.8,80.4
1446,2021/09,7366000000,3260000000,3260895000,421721000,200000000,1859176000,304.07,44.3
1447,2021/03,15286296000,3005379000,2800159000,-896034000,2661723000,4056269000,131.12,18.4
1448,2021/03,79175000000,25895000000,22081000000,13687000000,9144000000,10460000000,730.19,32.6
1449,2020/12,561098000,333801000,333801000,247953000,-,4150000,156.71,59.5
1450,2021/03,7009460000,4781587000,4725559000,4179863000,300000000,-,1099.35,68.2
1451,2021/03,14781815000,5705449000,5705331000,4285290000,-,3882442000,1447.49,38.6
1491,2021/03,8268563000,6568268000,6568334000,350752000,600000000,170415000,22.68,79.4
1514,2021/03,17049000000,15105000000,15019000000,12092000000,70000000,-,276.03,88.6
1515,2021/03,188735000000,116411000000,100591000000,91693000000,16491000000,5086000000,13352.13,58.9
1518,2021/03,70618000000,30287000000,30478000000,15793000000,12406000000,10156000000,2322.62,42.8
1605,2020/12,4634518000000,3001339000000,2567279000000,1607524000000,175133000000,1059713000000,1874.08,59
1662,2021/03,624786000000,434492000000,358575000000,344438000000,-,50180000000,7011.34,64
1663,2020/12,94624000000,79559000000,76067000000,56411000000,415000000,656000000,2866.3,80.4
1711,2021/03,277349000,39184000,33029000,-2934449000,-,-,6.61,12.7
1712,2021/02,21275000000,13761000000,12914000000,8552000000,980000000,2505000000,776.99,61.3
1716,2021/06,17991723000,14321265000,13621254000,12811515000,-,175825000,1197.33,75.8
1717,2021/03,5504690000,3966675000,3907058000,3450123000,-,-,343.49,71
1718,2020/12,27282433000,15147782000,13313880000,11953618000,1970000000,3049431000,12228.06,49
1719,2021/03,339387000000,146676000000,141824000000,115086000000,16312000000,8271000000,782.28,43
1720,2021/03,226568000000,103509000000,96437000000,77344000000,5172000000,21582000000,983.89,45.4
1721,2021/03,479419000000,330807000000,330114000000,260846000000,5141000000,464000000,2619.64,68.3
1723,2021/03,37628000000,26658000000,25885000000,25469000000,-,-,3329.67,70.8
1724,2020/12,9385000000,3311000000,3248000000,2519000000,850000000,418000000,898.77,35.3
1726,2021/03,32649000000,12152000000,11958000000,6386000000,5300000000,2750000000,267.78,36.9
1728,2021/03,14837260000,6066305000,5979958000,3731780000,3507288000,1222353000,527.25,40.9
1730,2021/03,3546922000,1496008000,1496937000,1108890000,8000000,399003000,438.23,42.2
1734,2021/03,10412680000,3109903000,3064579000,1566920000,-,-,4931.23,29.9
1736,2021/03,26566994000,16865023000,16006471000,15074488000,1018574000,124718000,3143.84,62.1
1737,2021/03,18946155000,14001349000,14224713000,12461561000,-,-,1096.26,73.9
1738,2021/03,6339903000,3733092000,3680494000,3350492000,510000000,188824000,921.05,58.9
1739,2021/06,24580917000,6329153000,6329153000,5608030000,7682150000,4316096000,1039.9,25.7
1743,2021/09,12266000000,7674000000,7548357000,4956489000,-,263286000,10123.64,62.6
1757,2021/03,1476458000,1262032000,1262032000,-12835445000,-,-,5.06,85.5
1758,2021/01,10074557000,7298642000,7159542000,6912842000,-,55862000,10967.58,72.4
1762,2021/03,220831000000,115756000000,117155000000,118842000000,16000000000,-,3323.36,52.4
1764,2021/06,13560189000,4394746000,4386360000,3466096000,700000000,1299572000,3849.78,32.4
1766,2021/04,194424000000,105517000000,105370000000,100748000000,-,-,7847.88,54.3
1768,2021/03,11257870000,7596755000,7462600000,6345702000,-,-,1035.63,67.5
1770,2021/03,26049081000,14363491000,13803416000,13188653000,905000000,-,1574.54,55.1
1771,2020/09,12312333000,6870739000,6572619000,5470383000,115200000,675200000,1363.18,55.8
1775,2021/03,56558000000,29212000000,28716000000,20139000000,345000000,-,3166.63,50.4
1776,2021/03,27548000000,12543000000,12401000000,9607000000,-,-,1374.53,45.5
1777,2021/03,16771000000,9756000000,9727000000,7759000000,-,-,815.35,58.2
