CF
コード,年度,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン
1301,2021/03,5997000000,-527000000,-4627000000,-,7097000000,2.41
1332,2021/03,45910000000,-18023000000,-44786000000,-24228000000,14760000000,7.46
1333,2021/03,33361000000,-11996000000,-10812000000,-22771000000,31156000000,4.12
1352,2021/03,4367000000,-1817000000,-662000000,-611000000,4009000000,5.24
1375,2021/03,8204000000,-3689000000,-5198000000,-3726000000,3777000000,15.97
1376,2021/05,2294651000,-838995000,-384763000,-1028317000,5486002000,3.78
1377,2021/05,11362000000,-5165000000,-4005000000,-4689000000,14758000000,16.41
1379,2021/03,10471000000,-4332000000,-4801000000,-3995000000,12833000000,14.17
1380,2021/03,785867000,-332930000,-144656000,-335198000,926888000,12.25
1381,2021/06,2934000000,-2332000000,-483000000,-2340000000,7894000000,13.87
1382,2021/06,352435000,-16048000,-193052000,-22602000,407794000,11.6
1383,2020/10,311441000,-605584000,533961000,-608292000,728771000,5.99
1384,2021/03,635353000,-905438000,-532226000,-912963000,1395633000,4.86
1400,2020/12,33060000,-3519000,22735000,0,1622285000,1.26
1401,2021/05,-1699000,227196000,-85646000,-10324000,1403477000,-0.05
1407,2021/08,5127000000,-4037000000,3315000000,-3394000000,34349000000,7.55
1413,2020/12,6121206000,-733812000,3084863000,-1648795000,18299518000,5.35
1414,2021/06,2737000000,-2638000000,-4485000000,-1510000000,23012000000,3.42
1417,2021/03,41602000000,1869000000,-32200000000,-8917000000,42851000000,8.97
1418,2021/02,633196000,41270000,-636588000,-42604000,3163923000,4.27
1419,2021/05,17639000000,-1520000000,-14436000000,-1655000000,32681000000,8.09
1420,2021/03,6107776000,-106075000,-5137896000,-208398000,7184688000,11.42
1429,2020/12,694189000,-609202000,-311392000,-686212000,1651998000,3.17
1430,2021/05,2814959000,-45189000,-2584505000,-8996000,4276416000,13.46
1431,2021/06,134033000,-599132000,3046753000,-219605000,3324877000,1.43
