売上高
四半期毎
前年同期比（%）
コード,年度,1Q,2Q,3Q,4Q
1301,2022/03,7.1,-0.2,-,-
1332,2022/03,1.9,9,-,-
1333,2022/03,0.2,-1.9,-,-
1352,2022/03,-171.2,-160.5,-,-
1375,2022/03,16.4,34.9,-,-
1376,2022/05,-1.4,-,-,-
1377,2022/05,3.3,-,-,-
1379,2022/03,-8.8,-4.7,-,-
1380,2022/03,-2,2.7,-,-
1381,2022/06,6.2,-,-,-
1382,2022/06,-18.7,-,-,-
1383,2021/10,-2.1,6.7,2.7,-
1384,2022/03,17.1,23.3,-,-
1400,2021/12,-6.6,16.5,-4.2,-
1401,2022/05,20.1,-,-,-
1407,2021/08,-7.4,-6.5,-0.4,26.5
1413,2021/12,8.5,6.7,-1.1,-
1414,2022/06,1.9,-,-,-
1417,2022/03,10.9,8.1,-,-
1418,2022/02,-76.9,-42.6,-,-
1419,2022/05,15.6,-,-,-
1420,2022/03,11.3,50,-,-
1429,2021/12,4.1,9.1,14.8,-
1430,2022/05,62.8,-,-,-
1431,2022/06,48.3,-,-,-
1433,2022/01,31.6,27.7,-,-
1434,2021/08,-1.4,4.9,17.5,-16.4
1435,2021/12,-77.6,-104.8,-38.7,-
1436,2022/04,45.5,-,-,-
1438,2021/09,16.1,-8.9,31.2,3.9
1439,2021/12,28.6,26.5,30.9,-
1443,2022/03,-11.9,-,-,-
1444,2021/07,6.5,6.1,2.3,6.2
1446,2021/09,-8.7,-14.4,-2.8,-10.6
1447,2022/03,17.5,-,-,-
1448,2022/03,1.8,-13,-,-
1449,2021/12,5.6,29.3,13.9,-
1450,2022/03,38,-0.3,-,-
1451,2022/03,13.9,-1.1,-,-
1491,2022/03,28.3,-13,-,-
1514,2022/03,-7.3,-39.7,-,-
1515,2022/03,27.1,15.1,-,-
1518,2022/03,-44.2,-29.1,-,-
1605,2021/12,-2.5,44.2,42.7,-
1662,2022/03,-1.9,31.2,-,-
1663,2021/12,-9.4,-0.7,17.8,-
1711,2022/03,10.9,-6.7,-,-
1712,2022/02,1.5,33.7,-,-
1716,2022/06,16.7,-,-,-
1717,2022/03,12,11.1,-,-
1718,2021/12,-4.9,-12.5,-1.7,-
1719,2022/03,-11.2,-16.2,-,-
1720,2022/03,24.2,4.6,-,-
1721,2022/03,12.9,3,-,-
1723,2022/03,3.3,-1.7,-,-
1724,2021/12,17.8,24.2,36.7,-
1726,2022/03,-0.7,-2.8,-,-
1730,2022/03,-15.7,-20.4,-,-
1734,2022/03,36.7,-,-,-
1736,2022/03,20.5,0.4,-,-
1737,2022/03,-99.9,-26.1,-,-
1738,2022/03,13.1,10.2,-,-
1739,2022/06,-2.6,-,-,-
1743,2021/09,-0.7,4.1,4.7,-31.7
1757,2022/03,-454.2,-542.8,-,-
1758,2022/01,-7.6,-13.4,-,-
1762,2022/03,-7.7,-9.2,-,-
1764,2022/06,1.9,-,-,-
1766,2022/04,-2.6,-,-,-
1768,2022/03,-27.3,7.4,-,-
1770,2022/03,0.5,9.2,-,-
1771,2021/09,33.5,17.7,21.8,-
1775,2022/03,4.9,13.7,-,-
1776,2022/03,1.6,-9.4,-,-
1777,2022/03,21.3,-0.5,-,-
1780,2022/03,13.6,4.6,-,-
1783,2021/09,73.2,58.8,15.2,63.7
1787,2022/03,11.5,11.6,-,-
1788,2022/06,29.8,-,-,-
1789,2021/09,-25.5,-20.3,19,-38
1793,2022/03,0.7,-21.6,-,-
1795,2021/09,45.7,-46.8,-156.1,-46.6
1798,2022/03,2.8,,-,-
1799,2022/03,-20.2,-35.7,-,-
1801,2022/03,5.1,5.7,-,-
1802,2022/03,4.9,5.4,-,-
1803,2022/03,0.8,-12.2,-,-
1805,2022/03,0.5,-12.3,-,-
1807,2022/03,-5.9,-10,-,-
1808,2022/03,19.5,1.6,-,-
1810,2022/03,-18.8,-0.5,-,-
1811,2022/03,-17.7,-45.6,-,-
1812,2022/03,2.9,6.1,-,-
1813,2022/03,3.6,4.9,-,-
1814,2022/03,16.1,16.9,-,-
1815,2022/03,-31.5,-20.5,-,-
1820,2022/03,-4.2,-7.1,-,-
1821,2022/03,-0.3,-10.8,-,-
1822,2022/03,-10.2,-10.2,-,-
1826,2022/03,-39.7,-4.4,-,-
1827,2022/03,-3.6,-40.6,-,-
1828,2022/03,33.7,-1.1,-,-
1832,2022/03,12.8,14.8,-,-
1833,2022/03,2.7,15.5,-,-
1835,2022/03,-11.4,-33.8,-,-
1840,2021/10,-2.7,5.4,13.7,-
1841,2022/03,5.1,-9.9,-,-
1844,2021/07,-22.5,14.4,-4.6,-13.9
1847,2022/03,-16.4,-17.4,-,-
1848,2022/03,5.7,-17.8,-,-
1850,2022/03,-11.1,-16.7,-,-
1852,2022/03,5.6,-17.6,-,-
1853,2022/03,10.7,17,-,-
1861,2022/03,-12.8,-5.9,-,-
1866,2022/03,-8.5,-55.5,-,-
1867,2022/03,15.5,-0.6,-,-
1869,2022/03,0.7,0.6,-,-
1870,2022/03,2.1,0.5,-,-
1871,2022/03,11,-3.3,-,-
1873,2021/10,-15.1,-10.3,-0.8,-
1878,2022/03,4.9,6.9,-,-
1879,2022/03,-12.4,17.4,-,-
1881,2022/03,-6.3,-1.9,-,-
1882,2022/03,23.9,8.3,-,-
1884,2022/03,3.1,0.4,-,-
1885,2022/03,26.7,17.4,-,-
1887,2022/05,-0.2,-,-,-
1888,2022/03,17.3,1.7,-,-
1890,2022/03,-0.6,-4.4,-,-
1892,2022/03,11.1,30,-,-
1893,2022/03,-16,-1.2,-,-
1897,2021/12,-91,-121.3,-44.5,-
1898,2022/03,19.1,0.8,-,-
1899,2021/12,1.8,3.3,-4.5,-
1904,2022/03,-17.4,-1.9,-,-
1905,2022/03,-7.1,-3.9,-,-
1909,2022/03,3.1,6.2,-,-
1911,2021/12,15,18.5,,-
1914,2022/03,8.8,-,-,-
1921,2022/03,15,20.5,-,-
1925,2022/03,3,4.3,-,-
1926,2022/03,4,0.3,-,-
1928,2022/01,1.7,7.3,-,-
1929,2022/03,-2.1,-4.1,-,-
1930,2022/03,-5.3,-2.7,-,-
1934,2022/03,17.4,18.1,-,-
1938,2022/03,-10.4,-1.6,-,-
1939,2022/03,23.9,-1.7,-,-
1941,2022/03,-11.9,-2,-,-
1942,2022/03,-11.4,-18.8,-,-
1944,2022/03,1.1,0.7,-,-
1945,2022/03,-16.8,24.9,-,-
1946,2022/03,0.3,-4.2,-,-
1948,2022/03,6.2,-22.6,-,-
1949,2022/03,-3.9,8.1,-,-
1950,2022/03,23.1,-5,-,-
1951,2022/03,11.7,15.6,-,-
1952,2022/03,7.7,-21,-,-
1954,2021/06,-20.3,6.7,10.7,12.3
1959,2022/03,-12.4,-15,-,-
1960,2022/03,-7,-5.8,-,-
1961,2022/03,1.2,6,-,-
1963,2022/03,9.5,7.5,-,-
1964,2022/03,-6.9,11,-,-
1965,2022/03,5,2.5,-,-
1966,2022/03,14.1,-41,-,-
1968,2022/03,9.1,-9.8,-,-
1969,2022/03,3.7,3.8,-,-
1971,2022/03,-5.6,-4.4,-,-
1972,2022/03,1.1,5.4,-,-
1973,2022/03,0.4,-14.4,-,-
1975,2022/03,-17.2,1.3,-,-
1976,2022/03,7.8,-17.4,-,-
1979,2022/03,11.6,11.8,-,-
1980,2022/03,-27.7,1.6,-,-
1981,2022/03,4.2,-4.4,-,-
1982,2022/03,1.2,6.8,-,-
1992,2022/03,9.4,-33.9,-,-
1994,2021/12,66.6,50.2,-23.8,-
1997,2021/08,-9.6,-12.2,-21.5,-11.5
1999,2022/06,2.1,-,-,-
2001,2022/03,-3.5,-,-,-
2002,2022/03,-4.1,-2.3,-,-
2003,2022/03,4.4,1.7,-,-
2004,2022/03,11.3,11.2,-,-
2009,2021/12,3.5,2.3,4.3,-
2053,2022/03,8.7,9.8,-,-
2055,2022/03,4.4,16.7,-,-
2058,2022/03,-3.3,-8,-,-
2060,2022/03,8.5,16.4,-,-
2107,2022/03,4.4,5.3,-,-
2108,2022/03,2.4,7.8,-,-
2109,2022/03,29.7,22.3,-,-
2112,2022/03,2.4,5.1,-,-
2114,2022/03,7.8,7.7,-,-
2117,2022/03,8.8,6.4,-,-
2120,2021/09,-11.3,-4.2,15.1,4.7
2121,2022/03,-3.5,-26.6,-,-
2122,2021/09,-23.2,-14.4,2.9,2.2
2124,2021/12,-7.9,6.4,25.2,-
2127,2022/03,21.7,19.4,-,-
2130,2022/03,19.9,20.7,-,-
2134,2022/03,30.1,-74.6,-,-
2136,2022/03,-1,3.7,-,-
2137,2022/03,-1.2,-4.6,-,-
2138,2022/03,-117.8,-125.9,-,-
2139,2022/03,16.1,5.7,-,-
2146,2022/03,26.7,27.2,-,-
2148,2022/03,18.8,14.2,-,-
2150,2021/12,60.1,41.8,26.2,-
2151,2022/03,11.7,-,-,-
2152,2022/03,64.1,5.9,-,-
2153,2022/05,7.7,-,-,-
2154,2022/06,60.2,-,-,-
2156,2022/03,-241.1,-219.3,-,-
2157,2021/08,-138,-230.4,30,-51.8
2158,2022/03,4.4,-,-,-
2159,2022/04,-24.9,-,-,-
2160,2021/12,45.1,13,-,-
2162,2022/03,8.2,20.4,-,-
2163,2022/01,6.4,10,-,-
2164,2021/08,-25.4,-16.9,14.3,-57.4
2168,2022/05,6.7,-,-,-
2169,2021/12,-14,-10,9.1,-
2170,2021/12,-4.3,14.4,3.2,-
2172,2022/06,16.7,-,-,-
2173,2022/03,15,-,-,-
2174,2021/12,46.4,76.2,-,-
2175,2022/03,2.8,10.9,-,-
2176,2022/03,18.8,4.8,-,-
2178,2022/02,1.8,-5.7,-,-
2179,2022/03,11.7,8.5,-,-
2180,2021/06,-62.6,-9.6,21.7,57.1
2181,2022/03,4.9,13.3,-,-
2183,2022/03,13,6.6,-,-
2185,2021/09,-21.7,-11.1,10.2,17.8
2186,2022/02,7.6,11.4,-,-
2191,2021/12,7.2,-17.5,-,-
2193,2021/12,-4.9,-6.8,-12.1,-
2195,2021/12,10.4,12.5,12.2,-
2196,2022/03,83.2,46.1,-,-
2198,2021/10,-123.4,-30.8,91.9,-
2201,2022/03,-6.8,-9.5,-,-
2204,2022/03,5.8,3.2,-,-
2206,2021/12,-5,-2.3,-1.3,-
2207,2022/03,-15.5,-9.9,-,-
2208,2022/03,-17.9,-22.5,-,-
2209,2022/03,-4.7,0.6,-,-
2211,2021/12,3.9,9,4.1,-
2212,2021/12,-2.4,4,3.3,-
2215,2021/12,-8.5,1.2,-,-
2216,2021/12,-12.4,18.7,16.6,-
2217,2022/01,5.5,5.5,-,-
2218,2022/03,1.6,-2.2,-,-
2220,2022/03,-25.7,-20.9,-,-
2221,2022/03,-34.8,-25.7,-,-
2222,2022/03,52.8,16.3,-,-
2224,2022/03,-2.5,-2.9,-,-
2226,2022/06,14.9,-,-,-
2229,2022/03,-7.5,-9.9,-,-
2230,2022/05,18,-,-,-
2264,2022/03,-16.1,-17.5,-,-
2266,2021/12,1.8,-2,-0.2,-
2267,2022/03,4,8.1,-,-
2268,2021/12,-8.8,20.6,6.8,-
2269,2022/03,-19.2,-14.7,-,-
2270,2022/03,-9.4,-9.5,-,-
