営業利益
四半期毎
前年同期比（%）
コード,年度,1Q,2Q,3Q,4Q
1301,2022/03,56.2,58,-,-
1332,2022/03,39.7,60.1,-,-
1333,2022/03,31.3,1.6,-,-
1352,2022/03,33.5,6.7,-,-
1375,2022/03,-352.2,-0.9,-,-
1376,2022/05,-7.9,-,-,-
1377,2022/05,-12.7,-,-,-
1379,2022/03,赤転,赤転,-,-
1380,2022/03,-154.4,-409.5,-,-
1381,2022/06,8.4,-,-,-
1382,2022/06,黒転,-,-,-
1383,2021/10,,44.9,,-
1384,2022/03,84,黒転,-,-
1400,2021/12,-65.4,黒転,赤転,-
1401,2022/05,黒転,-,-,-
1407,2021/08,28.5,11,22.1,37.6
1413,2021/12,黒転,-12.7,-68.3,-
1414,2022/06,19.1,-,-,-
1417,2022/03,63,21.4,-,-
1418,2022/02,赤転,-623.5,-,-
1419,2022/05,51.8,-,-,-
1420,2022/03,,黒転,-,-
1429,2021/12,-153.9,-111,21.4,-
1430,2022/05,81.7,-,-,-
1431,2022/06,,-,-,-
1433,2022/01,92.4,,-,-
1434,2021/08,黒転,4.8,44.4,-188.4
1435,2021/12,黒転,黒転,黒転,-
1436,2022/04,65.9,-,-,-
1438,2021/09,48.4,-34.8,91.6,-222.7
1439,2021/12,黒転,黒転,黒転,-
1443,2022/03,13.4,-,-,-
1444,2021/07,-37.6,-62.8,23.9,-45.9
1446,2021/09,-107.4,-89.4,赤転,赤転
1447,2022/03,,-,-,-
1448,2022/03,黒転,,-,-
1449,2021/12,2.1,黒転,12.8,-
1450,2022/03,6.5,-,-,-
1451,2022/03,65.7,-16,-,-
1491,2022/03,90.8,-1715.7,-,-
1514,2022/03,黒転,黒転,-,-
1515,2022/03,68.4,46.8,-,-
1518,2022/03,51.7,70.4,-,-
1605,2021/12,4.9,80.5,62.2,-
1662,2022/03,黒転,黒転,-,-
1663,2021/12,9.5,-60.8,37.7,-
1711,2022/03,,,-,-
1712,2022/02,31.7,84.1,-,-
1716,2021/06,28.8,-18,-35.7,76.3
1717,2022/03,17.5,38.5,-,-
1718,2021/12,8.1,赤転,-10.4,-
1719,2022/03,-5.9,-15.1,-,-
1720,2022/03,赤転,赤転,-,-
1721,2022/03,56.4,10,-,-
1723,2022/03,19.7,14.1,-,-
1724,2021/12,41.1,65.7,35.5,-
1726,2022/03,32.7,-45.6,-,-
1730,2022/03,,赤転,-,-
1734,2022/03,,-,-,-
1736,2022/03,19.1,-64.1,-,-
1737,2022/03,赤転,赤転,-,-
1738,2022/03,黒転,26.8,-,-
1739,2022/06,-56.4,-,-,-
1743,2021/09,-12.3,71.3,52.9,
1757,2022/03,,,-,-
1758,2022/01,-5.6,42.9,-,-
1762,2022/03,2.1,-29.6,-,-
1764,2022/06,赤転,-,-,-
1766,2022/04,5.7,-,-,-
1768,2022/03,-35.8,38.6,-,-
1770,2022/03,-27.5,-27.1,-,-
1771,2021/09,51.5,24.8,,-
1775,2022/03,-105.6,21.8,-,-
1776,2022/03,赤転,-371.2,-,-
1777,2022/03,100,-84.5,-,-
1780,2022/03,79.8,-,-,-
1783,2021/09,黒転,黒転,,
1787,2022/03,,6.6,-,-
1788,2022/06,91.8,-,-,-
1789,2021/09,黒転,32.7,黒転,-142.1
1793,2022/03,4.2,-198.5,-,-
1795,2021/09,,-41.9,,-72.4
1798,2022/03,41.2,5.6,-,-
1799,2022/03,-203.1,-125.2,-,-
1801,2022/03,-417.2,-25.8,-,-
1802,2022/03,-36.3,-629,-,-
1803,2022/03,-433.4,-309.6,-,-
1805,2022/03,10.9,-54.8,-,-
1807,2022/03,98.8,-,-,-
1808,2022/03,41,10.1,-,-
1810,2022/03,-80.7,15.5,-,-
1811,2022/03,-1863,-81.3,-,-
1812,2022/03,-45.9,-11.2,-,-
1813,2022/03,-89.1,-12.6,-,-
1814,2022/03,44.4,-54,-,-
1815,2022/03,-46.1,-14.8,-,-
1820,2022/03,47,0.9,-,-
1821,2022/03,-40.8,赤転,-,-
1822,2022/03,2.4,-59.7,-,-
1824,2022/03,-399,-,-,-
1826,2022/03,-147.1,-793.8,-,-
1827,2022/03,赤転,-56.5,-,-
1828,2022/03,49,-0.5,-,-
1832,2022/03,,47.5,-,-
1833,2022/03,61.4,58.3,-,-
1835,2022/03,-222.7,-209.2,-,-
1840,2021/10,,黒転,黒転,-
1841,2022/03,,-,-,-
1844,2021/07,-332.9,48.4,19.9,赤転
1847,2022/03,47.9,-56.6,-,-
1848,2022/03,60.5,-354.2,-,-
1850,2022/03,62,19.8,-,-
1852,2022/03,-26.2,-45.6,-,-
1853,2022/03,84.6,44.9,-,-
1860,2022/03,51.9,-,-,-
1861,2022/03,-50.8,-28.9,-,-
1866,2022/03,-1141,-237,-,-
