経常利益
四半期毎
前年同期比（%）
コード,年度,1Q,2Q,3Q,4Q
1301,2022/03,56.3,55.9,-,-
1332,2022/03,33.9,53.8,-,-
1333,2022/03,35,-9,-,-
1352,2022/03,35.1,9.5,-,-
1376,2022/05,-5.8,-,-,-
1377,2022/05,-14.1,-,-,-
1379,2022/03,赤転,赤転,-,-
1380,2022/03,-89.5,-27.4,-,-
1381,2022/06,12.1,-,-,-
1382,2022/06,黒転,-,-,-
1383,2021/10,,46.8,,-
1384,2022/03,81.3,黒転,-,-
1400,2021/12,-61.3,黒転,赤転,-
1401,2022/05,38,-,-,-
1407,2021/08,29.1,6.5,32.4,38.9
1413,2021/12,黒転,-12.9,-75,-
1414,2022/06,18.8,-,-,-
1417,2022/03,50.2,21,-,-
1418,2022/02,赤転,-717.9,-,-
1419,2022/05,53.6,-,-,-
1420,2022/03,,黒転,-,-
1429,2021/12,-157.9,-107.9,22.1,-
1430,2022/05,84,-,-,-
1431,2022/06,,-,-,-
1433,2022/01,91.7,98,-,-
1434,2021/08,黒転,4.8,42.4,-225
1435,2021/12,黒転,黒転,黒転,-
1436,2022/04,65.3,-,-,-
1438,2021/09,56.5,-34.2,89.5,-217.5
1439,2021/12,黒転,黒転,黒転,-
1443,2022/03,37.7,-,-,-
1444,2021/07,-37.6,-59.3,45.3,-48.1
1446,2021/09,-11.6,-92.8,赤転,赤転
1447,2022/03,,-,-,-
1448,2022/03,59.7,,-,-
1449,2021/12,1.5,黒転,12,-
1450,2022/03,5.6,-,-,-
1451,2022/03,84.9,-17.7,-,-
1491,2022/03,93.7,赤転,-,-
1514,2022/03,黒転,黒転,-,-
1515,2022/03,64.4,33.2,-,-
1518,2022/03,-35.2,84.5,-,-
1605,2021/12,-1.6,63.5,76,-
1662,2022/03,黒転,69.1,-,-
1663,2021/12,10.4,-53.1,36.8,-
1711,2022/03,,,-,-
1712,2022/02,27.3,84.8,-,-
1716,2021/06,27.7,-16.6,-34.6,69.2
1717,2022/03,17.6,38.4,-,-
1718,2021/12,10.8,赤転,-6.9,-
1719,2022/03,3.6,-11,-,-
1720,2022/03,赤転,赤転,-,-
1721,2022/03,53.5,9.8,-,-
1723,2022/03,17.7,13.3,-,-
1724,2021/12,55.1,51.2,44.7,-
1726,2022/03,34.3,-43.3,-,-
1728,2021/03,,-107.6,,60.8
1730,2020/03,,,-178.9,-42.2
1734,2022/03,,-,-,-
1736,2022/03,9.9,-70.6,-,-
1737,2022/03,赤転,赤転,-,-
1738,2022/03,黒転,24,-,-
1739,2022/06,-158.1,-,-,-
1743,2021/09,-11.3,73.6,52.1,
1757,2022/03,,,-,-
1758,2022/01,-11.1,47.6,-,-
1762,2022/03,5.5,-32.2,-,-
1764,2022/06,赤転,-,-,-
1766,2022/04,-9.2,-,-,-
