純利益
四半期毎
前年同期比（%）
コード,年度,1Q,2Q,3Q,4Q
1301,2022/03,51.9,19.9,-,-
1333,2022/03,48.7,75.7,-,-
1375,2022/03,-801.9,-0.8,-,-
1379,2022/03,赤転,赤転,-,-
1380,2022/03,-121.6,14.7,-,-
1382,2022/06,黒転,-,-,-
1384,2022/03,84.2,黒転,-,-
1400,2021/12,-11.1,黒転,赤転,-
1413,2021/12,,5.3,-105.4,-
1414,2022/06,24.3,-,-,-
1417,2022/03,53.4,30.5,-,-
1420,2022/03,,黒転,-,-
1429,2021/12,-164.8,-118.7,22.8,-
1431,2022/06,,-,-,-
1435,2021/12,黒転,黒転,黒転,-
1438,2021/09,58.7,-38.6,92.3,-691
1439,2021/12,黒転,黒転,黒転,-
1446,2021/09,,-123.4,赤転,赤転
1448,2022/03,黒転,-130.3,-,-
1449,2021/12,-1,黒転,12,-
1450,2022/03,6.3,-30,-,-
1451,2022/03,93.1,-17.5,-,-
1491,2022/03,92.6,赤転,-,-
1514,2022/03,黒転,黒転,-,-
1518,2022/03,-66.2,92,-,-
1605,2021/12,12.1,黒転,黒転,-
1662,2022/03,黒転,赤転,-,-
1663,2021/12,11.6,-46.9,-20.9,-
1711,2022/03,,,-,-
1716,2022/06,-8.4,-,-,-
1717,2022/03,17.7,44,-,-
1718,2021/12,2.5,赤転,-42.6,-
1719,2022/03,3.4,-10.8,-,-
1720,2022/03,赤転,赤転,-,-
1721,2022/03,51.2,6.3,-,-
1723,2022/03,18.7,39.6,-,-
1724,2021/12,57.8,37.5,54.1,-
1726,2022/03,39.5,-40.4,-,-
1734,2022/03,,-,-,-
1736,2022/03,3.7,-56.3,-,-
1737,2022/03,赤転,赤転,-,-
1738,2022/03,黒転,23.6,-,-
1739,2022/06,-153.1,-,-,-
1743,2021/09,0.4,80.7,52.5,赤転
1757,2022/03,,,-,-
1762,2022/03,28,-64.4,-,-
1764,2022/06,赤転,-,-,-
1768,2022/03,-32.5,36.9,-,-
1770,2022/03,18.7,-33.3,-,-
1775,2022/03,-246.3,22.3,-,-
1776,2022/03,赤転,-646.7,-,-
1780,2022/03,81.1,-5,-,-
1783,2021/09,黒転,黒転,,
1787,2022/03,,23,-,-
1789,2021/09,黒転,26.1,黒転,-625.9
1793,2022/03,4.1,-240.6,-,-
