業績
コード,年度,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1301,2021/03,249197000000,4657000000,4879000000,3838000000,356.9,9.5,3.3
1332,2021/03,615044000000,18079000000,22670000000,14391000000,46.25,8.49,3.03
1333,2021/03,809050000000,16208000000,18093000000,5753000000,109.32,4.04,1.08
1352,2021/03,83265000000,1230000000,1163000000,798000000,95.3,11.43,1.93
1375,2021/03,51380000000,7823000000,-,4744000000,119.03,51.38,13.31
1376,2021/05,60779093000,1661398000,1765679000,1436066000,123.09,6.62,3.03
1377,2021/05,69218000000,9725000000,10078000000,7636000000,171.22,6.84,5.74
1379,2021/03,73889000000,6012000000,6526000000,4038000000,128.83,7.46,4.03
1380,2021/03,6417643000,265554000,288370000,169973000,40.77,8.86,3.16
1381,2021/06,21160000000,3372000000,3508000000,2412000000,429.5,13.92,11.94
1382,2021/06,3039000000,106000000,109000000,108000000,141.77,18.71,11.09
1383,2020/10,5197096000,-124479000,-132395000,-214423000,-168.88,-,-
1384,2021/03,13060962000,152646000,226109000,132784000,15.7,1.47,0.93
1400,2020/12,2626680000,70332000,77407000,80875000,6.48,3.19,2.55
1401,2021/05,3439594000,243108000,284511000,287098000,37.13,10.49,7.68
1407,2020/08,61947000000,7180000000,6615000000,4417000000,107.66,21.71,5.37
1413,2020/12,114365044000,6629536000,6552649000,3800380000,301.09,17.67,5.14
1414,2021/06,80065000000,15732000000,16302000000,11340000000,210.67,12.48,10.33
1417,2021/03,463744000000,30129000000,31739000000,24205000000,229.58,10.69,6.75
1418,2021/02,14823365000,183463000,286217000,101658000,5.31,2.64,1.22
1419,2021/05,218092000000,10999000000,11093000000,7168000000,243.35,27.42,7.15
1420,2021/03,53487929000,782016000,872512000,509313000,46.98,3.01,0.97
1429,2020/12,21872218000,1896370000,1911938000,1342695000,41.57,17.58,8.38
1430,2021/05,20919021000,1666068000,1608766000,1125310000,90.19,17.93,6.46
1431,2021/06,9404000000,486000000,582000000,336000000,15.64,9.97,4.42
1433,2021/01,3682864000,124501000,212842000,142571000,17.33,5.5,2.36
1434,2020/08,8993284000,340830000,390725000,314866000,47.9,9.33,3.16
1435,2020/12,6147103000,-664441000,-694379000,-1007325000,-11.14,-,-
