配当
コード,年度,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率
1301,2021/03,80,754000000,82000000,19.65,21.78,2.4
1332,2021/03,9.5,2648000000,1000000,18.4,18.41,1.8
1333,2021/03,40,2105000000,5000000,36.59,36.68,1.5
1352,2021/03,20,167000000,-,20.93,-,2.4
1375,2021/03,42,554000000,-,11.68,-,23.7
1376,2021/05,29,328689000,781000,22.89,22.94,1.6
1377,2021/05,38,1472000000,2000000,19.28,19.3,1.6
1379,2021/03,60,1901000000,1000000,47.08,47.1,3.6
1380,2021/03,10,20845000,-,12.26,12.26,2.3
1381,2021/06,90,477000000,-,19.78,-,3.1
1382,2021/06,-,-,44000,-,0.04,0
1383,2020/10,10,12696000,-,-,-,1
1384,2021/03,10,84589000,-,63.7,63.7,0.9
1401,2021/05,3,-,-,8.1,-,0.9
1407,2020/08,34.62,1100000000,578000000,24.9,37.99,7.5
1413,2020/12,90,1135539000,2000,29.88,29.88,5.6
1414,2021/06,105.5,4548000000,1000000,40.11,40.11,6.5
1417,2021/03,45,4583000000,9574000000,18.93,58.49,2.1
1418,2021/02,4,80041000,-,78.74,78.74,2
1419,2021/05,100,2061000000,-,28.75,28.75,12.5
1420,2021/03,25,275257000,21000,54.04,54.05,1.6
1429,2020/12,20,549038000,-,40.89,40.89,8.9
1430,2021/05,38,267170000,676442000,23.74,83.85,7.7
1431,2021/06,-,96931000,39000,28.85,28.86,3.9
1433,2021/01,16,131628000,176000,92.32,92.45,5.1
1434,2020/08,15,72278000,-,22.96,22.96,3
1436,2021/04,10,42610000,52073000,26.75,59.43,1
1438,2020/09,17.5,50806000,-,25.46,25.46,2
1439,2020/12,20,57308000,29918000,-,-,1.8
1443,2021/03,1,16236000,173000,2.18,2.2,0.2
1446,2020/09,6,62044000,-,32.36,-,1.9
1447,2021/03,-,-,4843000,-,-,-
1448,2021/03,15,529000000,-,160.79,160.79,2.1
1449,2020/12,7,-,-,36.6,-,4.5
1450,2021/03,68,173985000,377000,17.71,17.75,6.8
1451,2021/03,30,133640000,-,41.89,41.89,2.1
1491,2021/03,-,-,64000,-,0.04,-
1514,2021/03,3,172000000,-,-,-,1.3
1515,2021/03,100,748000000,3000000,19.97,20.05,0.8
1518,2021/03,50,653000000,-,-,-,2.1
1605,2020/12,24,43810000000,-,-,-,1.3
1662,2021/03,50,2857000000,140000000,-,-,0.7
1663,2020/12,30,751000000,1020000000,26.41,62.27,1.1
1711,2020/03,-,-,4000,-,-,-
1712,2021/02,6,100000000,-,14.51,14.51,0.7
1716,2020/06,12.5,114793000,196000,7.53,7.55,1.3
1717,2021/03,26,261094000,695320000,42.08,154.14,7.7
1718,2020/12,100,153045000,-,19.24,19.24,0.8
1719,2021/03,30,5802000000,4936000000,33.76,62.47,4
1720,2021/03,10,2134000000,1001000000,80.62,118.44,1
1721,2021/03,85,10114000000,7004000000,34.44,58.29,3.4
1723,2021/03,125,952000000,-,28.64,28.64,3.8
1724,2020/12,10,36000000,-,6.81,6.81,1.2
1726,2021/03,11,388000000,-,19.92,19.92,5
1728,2021/03,5,57528000,14000,35.7,35.71,1
1730,2021/03,10,17068000,-,11.11,11.11,2.4
1734,2021/03,150,75692000,475000,-,-,1.8
1736,2021/03,80,448362000,-,33.8,33.8,2.6
1737,2021/03,33,421477000,71000,57.75,57.76,3
1738,2021/03,12,52690000,-,21.93,21.93,1.3
1739,2021/06,13,48690000,-,3.9,3.9,1.3
1743,2020/09,80,45492000,65000,7.34,7.35,0.9
1757,2021/03,-,-,182000,-,-,-
1758,2021/01,100,66547000,-,15.27,15.27,0.9
1762,2021/03,63,1392000000,-,18.64,18.64,1.9
1764,2021/06,105,119877000,348000,33.77,33.87,2.8
1766,2021/04,220,2958000000,14000000,29.35,29.48,2.9
1768,2021/03,30,146708000,-,16.93,16.93,3.1
1770,2021/03,30,273504000,89000,23.19,23.2,2
1771,2020/09,10,61362000,-,9.76,-,0.9
1775,2021/03,90,674000000,-,17.27,17.27,3
1776,2021/03,28,240000000,-,20.2,20.2,2.1
1777,2021/03,10,119641000,15000,15.97,15.98,1.3
1780,2021/03,5,94636000,-,8.28,8.28,0.6
1782,2021/03,-,219510000,844000,21.61,21.69,-
1783,2020/09,-,-,0,-,-,-
1786,2021/03,-,929000000,-,24.69,-,-
1787,2021/03,330,323422000,299361000,35.88,69.09,11.1
1788,2021/06,60,26758000,-,18.71,18.71,1.4
1789,2020/09,5,31845000,-,20.99,20.99,1.4
1793,2021/03,170,766000000,-,29.59,29.59,1.3
1795,2020/09,160,125453000,302000,30.03,30.1,3.5
1798,2021/03,65,142076000,-,21.77,21.77,1.3
1799,2021/03,37,695965000,100112000,18.69,21.38,1.2
1801,2021/03,130,27296000000,20400000000,29.49,51.53,3.4
1802,2021/03,32,22977000000,3000000,23.26,23.26,2.6
1803,2021/03,30,24454000000,2000000,31.69,31.69,3
1805,2021/03,50,961000000,5000000,39.21,39.41,2.4
1807,2021/03,100,191426000,150800000,10.38,18.55,1.8
1808,2021/03,70,24962000000,21524000000,51.73,96.33,5.1
1810,2021/03,23,763023000,53000,33.88,33.88,1.7
1811,2021/03,100,716000000,-,22.24,22.24,1
1812,2021/03,54,25634000000,10006000000,26.02,36.17,3.3
1813,2021/03,60,877000000,508000000,29.33,46.32,3.3
1814,2021/03,40,419000000,4000000,26.14,26.39,2.3
1815,2021/03,80,1248000000,2000000,28.45,28.49,2
1820,2021/03,105,5743000000,2000000,33.46,33.47,2.9
1821,2021/03,18,3792000000,503000000,43.37,49.13,2.9
1822,2021/03,110,1685000000,1256000000,26.91,46.97,2.8
1824,2021/03,38,3640000000,-,15.64,15.64,2.8
1826,2021/03,13,279000000,-,42.86,-,1.4
1827,2021/03,12,481000000,-,130.35,130.35,1.2
1828,2021/03,30,321027000,-,18.3,18.3,1.9
1832,2021/03,10,207000000,-,34.73,34.73,0.8
1833,2021/03,140,5258000000,4000000,51.12,51.16,3.3
1835,2021/03,85,3132712000,-,32.33,32.33,3.2
1840,2020/10,1,149985000,-,-,-,0.2
1841,2021/03,25,88935000,123000,222.34,222.65,0.8
1844,2020/07,7,74172000,273000,21.99,22.07,2.6
1847,2021/03,90,652000000,-,20.63,20.63,2.8
1848,2021/03,12,160000000,-,12.06,12.06,2.3
1852,2021/03,257,1740000000,6000000,42.05,42.19,5.1
1853,2021/03,14,458000000,-,34.8,-,3.6
1860,2021/03,20,7993000000,-,40.5,40.5,2.1
1861,2021/03,120,5611000000,21000000,31.3,31.42,3.6
1866,2021/03,110,621242000,20100000,34.44,35.55,1.9
1867,2021/03,55,297843000,1172000,17.52,17.59,1.6
1869,2021/03,30,795000000,-,17.53,-,1.4
1870,2021/03,34,1519000000,-,46.14,-,2.8
1871,2021/03,26,947000000,-,16.93,16.93,3.1
1873,2020/10,5,458000000,-,57.9,-,1
1878,2021/03,455,37723000000,11378000000,60.57,78.83,10.4
1879,2021/03,19,1110000000,-,11.53,-,1.4
1881,2021/03,80,7145000000,1000000,23,23,2.6
1882,2021/03,160,709000000,690000000,15.09,29.78,1.8
1883,2021/03,70,61815000000,1000000,369.04,369.05,3.1
1884,2021/03,260,1582000000,2000000,20.82,20.85,2.6
