code,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率,name
3001,2020/12,134384000000.0,81843000000.0,43437000000.0,42689000000.0,3041000000.0,8147000000.0,1686.47,42.8,6530000000.0,2167000000.0,-4184000000.0,-1285000000.0,8017000000.0,16.47,39639000000.0,3595000000.0,4544000000.0,2871000000.0,82.7,4.99,2.14,16.0,492000000.0,1148000000.0,17.14,57.12,0.9,片倉工業
3002,2021/03,159629000000.0,115178000000.0,110298000000.0,84456000000.0,4913000000.0,4581000000.0,6419.58,71.1,8595000000.0,1169000000.0,-9335000000.0,,9717000000.0,6.95,123649000000.0,4673000000.0,5094000000.0,2147000000.0,120.9,1.89,1.34,115.0,2042000000.0,391000000.0,95.11,113.32,1.8,グンゼ
3101,2021/03,491188000000.0,188635000000.0,147989000000.0,64351000000.0,40767000000.0,77046000000.0,2090.47,37.8,35028000000.0,-31678000000.0,5340000000.0,,34526000000.0,10.38,337406000000.0,26657000000.0,20706000000.0,4202000000.0,47.3,2.26,0.86,40.0,3552000000.0,3000000.0,84.53,84.6,2.0,東洋紡
3103,2021/03,190403000000.0,41192000000.0,38865000000.0,25695000000.0,2130000000.0,92002000000.0,684.67,20.7,14869000000.0,-6171000000.0,-4141000000.0,-6708000000.0,22593000000.0,13.47,110375000000.0,6018000000.0,5381000000.0,3864000000.0,67.02,9.79,2.03,0.0,321000000.0,,8.31,8.31,,ユニチカ
3104,2021/03,55789000000.0,37282000000.0,34797000000.0,26481000000.0,1194000000.0,164000000.0,3254.93,66.8,6792000000.0,-5818000000.0,-1312000000.0,,4571000000.0,18.39,36932000000.0,5285000000.0,5450000000.0,4315000000.0,376.79,11.57,7.73,105.0,1145000000.0,,26.54,26.54,3.4,富士紡ホールディングス
3106,2021/03,170433000000.0,95004000000.0,91620000000.0,58589000000.0,18697000000.0,3456000000.0,4537.63,54.8,8073000000.0,-3262000000.0,-1324000000.0,,22059000000.0,6.61,122184000000.0,3206000000.0,4242000000.0,2209000000.0,107.31,2.36,1.3,60.0,1241000000.0,3000000.0,56.18,56.32,1.4,倉敷紡績
3109,2021/03,82679000000.0,31855000000.0,19424000000.0,8348000000.0,10205000000.0,12418000000.0,2869.52,37.4,2775000000.0,-2342000000.0,-509000000.0,-2328000000.0,6372000000.0,8.28,33519000000.0,1196000000.0,936000000.0,9000000.0,0.83,0.03,0.01,40.0,434000000.0,,4822.22,4822.22,1.4,シキボウ
3111,2021/03,23330000000.0,4190000000.0,5467000000.0,-456000000.0,2017000000.0,7663000000.0,635.12,18.0,-1598000000.0,4538000000.0,-792000000.0,-340000000.0,2957000000.0,-23.54,6788000000.0,-187000000.0,-352000000.0,1040000000.0,157.64,24.82,4.46,,,,,0.0,,オーミケンシ
3123,2021/03,39133246000.0,16611787000.0,13689193000.0,11896778000.0,50000000.0,13649273000.0,1098.23,37.1,2135085000.0,-12140086000.0,10068572000.0,-12207351000.0,1620990000.0,31.73,6729224000.0,729248000.0,874428000.0,587763000.0,44.53,4.05,1.5,14.0,182877000.0,,31.11,31.11,1.3,サイボー
3201,2020/11,147172000000.0,95714000000.0,92124000000.0,91671000000.0,17119000000.0,3642000000.0,1310.04,63.8,11315000000.0,-6225000000.0,-359000000.0,,29927000000.0,10.78,104915000000.0,9048000000.0,12655000000.0,7121000000.0,98.57,7.58,4.84,27.0,1890000000.0,1038000000.0,26.54,41.12,2.1,日本毛織
3202,2021/03,21909249000.0,4615257000.0,-6710000.0,-96928000.0,607992000.0,10884622000.0,153.52,20.9,899366000.0,-64581000.0,-668650000.0,,1485228000.0,19.48,4617518000.0,253792000.0,21915000.0,97513000.0,3.26,2.12,0.45,,,,,0.0,,ダイトウボウ
3204,2020/12,31248000000.0,10822000000.0,10363000000.0,2872000000.0,5102000000.0,7224000000.0,1212.41,34.6,-68000000.0,-199000000.0,928000000.0,-342000000.0,2152000000.0,-0.46,14752000000.0,270000000.0,297000000.0,184000000.0,20.63,1.7,0.59,10.0,178000000.0,,96.74,,0.8,トーア紡コーポレーション
3205,2021/03,35394000000.0,10628000000.0,9424000000.0,-1404000000.0,6780000000.0,5116000000.0,291.19,26.9,95000000.0,5579000000.0,-1469000000.0,-432000000.0,7723000000.0,0.55,17299000000.0,-2527000000.0,-2204000000.0,-4513000000.0,-138.6,,,,84000000.0,,,,,ダイドーリミテッド
3302,2020/12,68479321000.0,55180860000.0,39931245000.0,37857981000.0,,89000000.0,2062.07,79.5,6099458000.0,-4208279000.0,-1156400000.0,-2968681000.0,11897885000.0,18.86,32332494000.0,4189982000.0,4865375000.0,3379372000.0,128.16,6.21,4.93,45.0,1182373000.0,49000.0,34.99,34.99,2.2,帝国繊維
3401,2021/03,1036881000000.0,428257000000.0,392346000000.0,229805000000.0,95387000000.0,218857000000.0,2115.61,39.2,107729000000.0,-79587000000.0,-20878000000.0,-60926000000.0,166455000000.0,12.88,836512000000.0,54931000000.0,53658000000.0,-6662000000.0,-34.71,,,50.0,10557000000.0,8000000.0,,,2.4,帝人
3402,2021/03,2848839000000.0,1322275000000.0,1237851000000.0,899994000000.0,278678000000.0,654608000000.0,773.44,43.5,211591000000.0,-97872000000.0,-69403000000.0,,236354000000.0,11.23,1883600000000.0,55879000000.0,,45794000000.0,28.61,3.7,1.61,9.0,,,,0.0,1.2,東レ
3405,2020/12,1051584000000.0,515481000000.0,496177000000.0,336050000000.0,34480000000.0,206881000000.0,1450.31,47.4,79947000000.0,-64025000000.0,91508000000.0,,182084000000.0,14.76,541797000000.0,44341000000.0,39740000000.0,2570000000.0,7.47,0.52,0.24,40.0,14784000000.0,2000000.0,575.25,575.33,2.7,クラレ
3407,2021/03,2918941000000.0,1494535000000.0,1335890000000.0,1158792000000.0,144571000000.0,320404000000.0,1057.61,50.3,253676000000.0,-157751000000.0,-95869000000.0,-150292000000.0,216235000000.0,12.05,2106051000000.0,171808000000.0,178036000000.0,79768000000.0,57.49,5.44,2.73,34.0,45800000000.0,10000000.0,57.42,57.43,3.3,旭化成
3408,2021/03,31273380000.0,23435423000.0,22289105000.0,16896249000.0,661512000.0,202201000.0,3793.94,74.7,2453894000.0,588472000.0,-1324138000.0,-157446000.0,8682337000.0,11.21,21897350000.0,849860000.0,2161774000.0,1408835000.0,228.84,6.03,4.5,95.0,399448000.0,1722000.0,28.35,28.48,2.6,サカイオーベックス
3409,2021/03,1816000000.0,867071000.0,366126000.0,-758538000.0,451500000.0,123849000.0,57.88,47.6,-101688000.0,135010000.0,377235000.0,-29718000.0,480230000.0,-16.53,615000000.0,-114830000.0,-101000000.0,-61000000.0,-5.67,,,,,80000.0,,,,北日本紡績
3501,2021/05,83669000000.0,32956000000.0,18878000000.0,10672000000.0,9834000000.0,7855000000.0,4438.55,33.5,4167000000.0,-754000000.0,-3174000000.0,-2271000000.0,10756000000.0,5.23,79702000000.0,1049000000.0,1211000000.0,409000000.0,64.76,1.46,0.49,35.0,189000000.0,,46.21,46.21,0.8,住江織物
3512,2021/03,22649775000.0,17287746000.0,15327050000.0,11966712000.0,1600000000.0,,889.88,74.9,1054478000.0,-690904000.0,411604000.0,-423707000.0,4119497000.0,10.54,10005214000.0,232000000.0,477623000.0,329707000.0,17.31,1.94,1.46,13.0,247447000.0,22000.0,75.05,75.06,1.5,日本フエルト
3513,2021/03,25293000000.0,18500123000.0,17178902000.0,11902961000.0,860000000.0,,4039.79,73.1,1716376000.0,-1023000000.0,-395857000.0,-1368043000.0,3614894000.0,14.8,11598000000.0,323491000.0,489000000.0,369000000.0,80.67,2.0,1.46,60.0,279627000.0,437000.0,75.78,75.9,1.5,イチカワ
3524,2021/04,23509302000.0,6338397000.0,6402856000.0,4531553000.0,6653347000.0,4940768000.0,2385.55,26.3,1195848000.0,-2961225000.0,1796441000.0,-2944209000.0,635633000.0,6.76,17680463000.0,772613000.0,865020000.0,419812000.0,161.88,6.79,1.79,50.0,129671000.0,,30.89,30.89,2.1,日東製網
3529,2021/03,44343000000.0,33956000000.0,29997000000.0,-4686000000.0,,1850000000.0,2110.47,76.3,-2949000000.0,522000000.0,2069000000.0,-171000000.0,7403000000.0,-18.17,16228000000.0,-2593000000.0,-1995000000.0,-3826000000.0,-238.68,,,,240000000.0,1000000.0,,,,アツギ
3551,2021/03,52125106000.0,20638657000.0,16055738000.0,9348265000.0,12790677000.0,5954778000.0,2394.91,38.9,1822019000.0,-1295113000.0,-1166210000.0,-1394261000.0,2667672000.0,5.08,35865045000.0,848695000.0,967922000.0,925191000.0,109.17,4.56,1.77,25.0,254237000.0,94000.0,27.48,27.49,1.1,ダイニック
3553,2021/03,52642000000.0,33443000000.0,31750000000.0,28287000000.0,698000000.0,,1334.38,62.1,2753000000.0,-2367000000.0,-781000000.0,-1655000000.0,10063000000.0,6.68,41182000000.0,1571000000.0,1907000000.0,1442000000.0,58.86,4.41,2.74,26.0,685000000.0,,47.5,,2.0,共和レザー
3569,2021/03,144702000000.0,80897000000.0,80219000000.0,60329000000.0,4521000000.0,14406000000.0,1484.53,55.0,12958000000.0,-1889000000.0,12317000000.0,-3226000000.0,39498000000.0,13.13,98688000000.0,8580000000.0,9451000000.0,6252000000.0,113.79,7.85,4.32,36.0,1998000000.0,3000000000.0,31.96,79.94,2.5,セーレン
3571,2021/03,15616784000.0,12949942000.0,12358868000.0,9255428000.0,,138250000.0,1017.54,82.9,1019443000.0,-413640000.0,-238261000.0,-1101728000.0,2571441000.0,13.51,7545390000.0,-634897000.0,-467074000.0,-831869000.0,-65.36,,,26.0,356349000.0,104000.0,,,2.5,ソトー
3577,2021/03,12907809000.0,6860607000.0,6657224000.0,1555439000.0,950000000.0,1435000000.0,1862.62,46.9,319791000.0,-359958000.0,-114312000.0,-478216000.0,2134655000.0,3.01,10624564000.0,-148376000.0,-69608000.0,-174330000.0,-53.68,,,20.0,64959000.0,426000.0,,,1.1,東海染工
3578,2021/03,3150653000.0,1600864000.0,1594202000.0,688259000.0,300000000.0,,626.41,50.8,-155591000.0,-207106000.0,168543000.0,-210227000.0,1208260000.0,-7.9,1968404000.0,-331292000.0,-193586000.0,-214398000.0,-134.12,,,12.0,,,,,1.1,倉庫精練
3580,2021/03,45635000000.0,36073000000.0,35623000000.0,27197000000.0,,,855.76,79.0,3069000000.0,-117000000.0,-1649000000.0,,9954000000.0,10.22,30018000000.0,1416000000.0,1916000000.0,1810000000.0,42.37,5.02,3.97,16.0,688000000.0,737000000.0,38.01,78.73,1.9,小松マテーレ
3583,2021/03,8643379000.0,4844628000.0,4866153000.0,2623070000.0,,2037226000.0,1753.19,56.1,631217000.0,-181988000.0,-12715000.0,-191975000.0,1867635000.0,13.28,4751464000.0,265496000.0,331726000.0,114965000.0,41.6,2.37,1.33,15.0,46207000.0,284000.0,40.19,40.44,0.9,オーベクス
3591,2021/03,322761000000.0,218616000000.0,215612000000.0,,,,3454.18,66.8,4260000000.0,-2562000000.0,33605000000.0,,63557000000.0,2.8,152204000000.0,-1115000000.0,,7025000000.0,112.57,3.26,2.18,40.0,2496000000.0,,35.53,35.53,,ワコールホールディングス
3593,2021/03,105644000000.0,95951000000.0,92706000000.0,86149000000.0,,,3182.95,90.8,6854000000.0,-6950000000.0,-2500000000.0,-7540000000.0,19911000000.0,18.78,36504000000.0,5632000000.0,5988000000.0,4959000000.0,164.03,5.17,4.69,68.0,2044000000.0,453000000.0,41.22,50.35,2.2,ホギメディカル
3597,2021/06,38992918000.0,33088994000.0,32124283000.0,29030880000.0,1000000000.0,,11477.56,84.9,5906479000.0,-934005000.0,-2366731000.0,-801754000.0,6106306000.0,33.03,17882029000.0,2158629000.0,2245619000.0,1544741000.0,535.82,4.67,3.96,300.0,864897000.0,399000.0,55.99,56.02,2.7,自重堂
3598,2021/03,13237868000.0,5001034000.0,4690214000.0,-1394490000.0,3555864000.0,1615743000.0,351.64,37.6,-253312000.0,-94813000.0,579615000.0,-42811000.0,1189237000.0,-2.45,10333238000.0,-1293431000.0,-1206087000.0,-1491969000.0,-105.3,,,,28278000.0,,36.88,36.88,,山喜
3600,2021/03,10707061000.0,9382007000.0,8161203000.0,6576104000.0,,,6324.44,81.3,569729000.0,-173128000.0,-113290000.0,-273009000.0,2069956000.0,9.77,5830296000.0,95669000.0,146360000.0,137682000.0,100.01,1.58,1.29,70.0,86044000.0,63000.0,62.49,62.54,1.1,フジックス
3604,2021/03,17109479000.0,5363636000.0,4875625000.0,2918675000.0,1200000000.0,2994745000.0,916.85,31.1,977744000.0,-141751000.0,-680653000.0,-149879000.0,1359921000.0,3.17,30872223000.0,1305971000.0,1368599000.0,1370591000.0,236.49,25.79,8.01,12.0,34773000.0,49000.0,2.54,2.54,1.3,川本産業
3607,2021/08,13785000000.0,2368000000.0,2137238000.0,398722000.0,3150000000.0,5006782000.0,268.9,17.2,515000000.0,381000000.0,-126000000.0,-128371000.0,4777910000.0,7.34,7015000000.0,-1732000000.0,-405000000.0,-810000000.0,-92.11,,,,399000.0,,,,,クラウディアホールディングス
3608,2021/02,154951000000.0,97430000000.0,92720000000.0,52213000000.0,152000000.0,16082000000.0,1074.8,62.6,-5300000000.0,36010000000.0,-11170000000.0,-3637000000.0,49761000000.0,-3.95,134078000000.0,-11843000000.0,-10359000000.0,3861000000.0,42.63,3.98,2.49,,1635000000.0,1177000000.0,42.35,72.83,,ＴＳＩホールディングス
