売上高
四半期毎
前年同期比（%）
コード,年度,1Q,2Q,3Q,4Q
1332,2022/03,1.9,-,-,-
1333,2022/03,0.2,-,-,-
1352,2022/03,-171.2,-,-,-
1376,2021/05,7.8,-0.6,3.7,4.7
1377,2021/05,7.8,10.3,7.9,16
1379,2022/03,-8.8,-,-,-
1380,2022/03,-2,-,-,-
1381,2021/06,5.4,5.5,9.4,6
1384,2022/03,17.1,-,-,-
1400,2021/12,-6.6,16.5,-,-
1401,2021/05,-31.3,-29.5,-24.4,43.3
1413,2021/12,8.5,6.7,-,-
1417,2022/03,10.9,-,-,-
1419,2021/05,-2.3,0.7,4,10.6
1420,2022/03,11.3,-,-,-
1430,2021/05,19,4.7,13.8,-45.7
1435,2021/12,-77.6,-104.8,-,-
1438,2021/09,16.1,-8.9,31.2,-
1439,2021/12,28.6,26.5,-,-
1443,2022/03,-11.9,-,-,-
1446,2021/09,-8.7,-14.4,-2.8,-
1447,2022/03,17.5,-,-,-
1450,2022/03,38,-,-,-
1491,2022/03,28.3,-,-,-
1515,2022/03,27.1,-,-,-
1605,2021/12,-2.5,44.2,-,-
1662,2022/03,-1.9,-,-,-
1711,2022/03,10.9,-,-,-
1724,2021/12,17.8,24.2,-,-
1726,2022/03,-0.7,-,-,-
1737,2022/03,-99.9,-,-,-
1738,2022/03,13.1,-,-,-
1743,2021/09,-0.7,4.1,4.7,-
1757,2022/03,-454.2,-,-,-
1768,2022/03,-27.3,-,-,-
1770,2022/03,0.5,-,-,-
1771,2021/09,33.5,17.7,21.8,-
1775,2022/03,4.9,-,-,-
1780,2022/03,13.6,-,-,-
1783,2021/09,73.2,58.8,15.2,-
1826,2022/03,-39.7,-,-,-
1827,2022/03,-3.6,-,-,-
1828,2022/03,33.7,-,-,-
1841,2022/03,5.1,-,-,-
1847,2022/03,-16.4,-,-,-
1848,2022/03,5.7,-,-,-
1853,2022/03,10.7,-,-,-
1878,2022/03,4.9,-,-,-
1882,2022/03,23.9,-,-,-
1887,2021/05,4.7,-5,-7.1,4.9
1892,2022/03,11.1,-,-,-
1897,2021/12,-91,-121.3,-,-
1899,2021/12,1.8,3.3,-,-
1911,2021/12,15,18.5,-,-
1914,2022/03,8.8,-,-,-
1944,2022/03,1.1,-,-,-
1945,2022/03,-16.8,-,-,-
1954,2021/06,-20.3,6.7,10.7,12.3
1960,2022/03,-7,-,-,-
1966,2022/03,14.1,-,-,-
1969,2022/03,3.7,-,-,-
1979,2022/03,11.6,-,-,-
1992,2022/03,9.4,-,-,-
1994,2021/12,66.6,50.2,-,-
1999,2021/06,-36.5,-8.6,-11.6,-25.8
2003,2022/03,4.4,-,-,-
2004,2022/03,11.3,-,-,-
2055,2022/03,4.4,-,-,-
2058,2022/03,-3.3,-,-,-
2060,2022/03,8.5,-,-,-
2117,2022/03,8.8,-,-,-
2122,2021/09,-23.2,-14.4,2.9,-
2127,2022/03,21.7,-,-,-
2134,2022/03,30.1,-,-,-
2137,2022/03,-1.2,-,-,-
2138,2022/03,-117.8,-,-,-
2139,2022/03,16.1,-,-,-
2148,2022/03,18.8,-,-,-
2150,2021/12,60.1,41.8,-,-
2151,2022/03,11.7,-,-,-
2153,2021/05,26,11,19.5,6.5
2156,2022/03,-241.1,-,-,-
2158,2022/03,4.4,-,-,-
2160,2021/12,45.1,13,-,-
2168,2021/05,7.1,-3.1,2.1,4.7
2170,2021/12,-4.3,14.4,-,-
2173,2022/03,15,-,-,-
2174,2021/12,46.4,76.2,-,-
2180,2021/06,-62.6,-9.6,21.7,57.1
2181,2022/03,4.9,-,-,-
2183,2022/03,13,-,-,-
2191,2021/12,7.2,-17.5,-,-
2195,2021/12,10.4,12.5,-,-
2196,2022/03,83.2,-,-,-
2201,2022/03,-6.8,-,-,-
2204,2022/03,5.8,-,-,-
2207,2022/03,-15.5,-,-,-
2215,2021/12,-8.5,1.2,-,-
2217,2022/01,5.5,5.5,-,-
2218,2022/03,1.6,-,-,-
2220,2022/03,-25.7,-,-,-
2221,2022/03,-34.8,-,-,-
2222,2022/03,52.8,-,-,-
2224,2022/03,-2.5,-,-,-
2230,2021/05,-30.4,1.1,3.6,35.3
2264,2022/03,-16.1,-,-,-
2269,2022/03,-19.2,-,-,-
2270,2022/03,-9.4,-,-,-
2286,2022/03,-11.6,-,-,-
2288,2022/03,-8.6,-,-,-
2291,2022/03,-3.6,-,-,-
2293,2022/03,-1.5,-,-,-
2296,2022/03,-1.2,-,-,-
2303,2021/05,11.2,-5.1,15.9,3.1
2304,2021/09,-57,-55.6,9.6,-
2307,2022/03,23.9,-,-,-
2311,2021/12,12.9,6,-,-
2321,2022/03,-2,-,-,-
2323,2022/03,-4.4,-,-,-
2325,2021/12,-5,-7.1,-,-
2329,2022/03,3.9,-,-,-
2330,2021/12,20.3,25.1,-,-
2334,2022/03,29.9,-,-,-
2335,2022/03,15.4,-,-,-
2340,2022/03,38.5,-,-,-
2342,2022/03,33.4,-,-,-
2344,2022/03,11.3,-,-,-
2351,2022/03,3.7,-,-,-
2352,2022/03,33.5,-,-,-
2353,2021/07,4.7,-8.1,-3,21.8
2359,2022/03,12.9,-,-,-
2370,2021/09,-111.2,-56.2,44.7,-
2371,2022/03,21,-,-,-
2374,2022/03,5.5,-,-,-
2376,2022/03,4.5,-,-,-
2378,2022/03,53.5,-,-,-
2385,2021/06,15.8,14.5,-23.1,-48.9
2388,2021/09,-38.8,-21.8,-27.9,-
2402,2021/12,-8.7,15.7,-,-
2406,2021/12,0.8,25.3,-,-
2412,2022/03,2.8,-,-,-
2418,2021/12,-99.1,80.5,-,-
2425,2022/03,9.1,-,-,-
2427,2021/12,27.7,41,-,-
2433,2022/03,-51.4,-,-,-
2435,2022/03,2.6,-,-,-
2436,2021/12,-0.6,23.9,-,-
2437,2021/05,-19.2,20.5,8,78.5
2459,2021/05,-32.8,-122.3,-114.7,-107.6
2461,2021/12,-13.8,-6,-,-
2462,2021/05,5.8,5,2.8,9.5
2467,2022/03,25.9,-,-,-
2475,2022/03,7.5,-,-,-
2480,2022/03,13,-,-,-
2481,2021/06,-8.4,-7,-1.5,35.6
2483,2022/03,11.3,-,-,-
2485,2021/09,-4.2,-4.7,14.2,-
2488,2022/03,17.4,-,-,-
2498,2021/09,4.5,8.6,2.1,-
2499,2021/12,-25.7,53.7,-,-
2501,2021/12,-11,8.8,-,-
2502,2021/12,10.4,19.4,-,-
2503,2021/12,-3.7,1.5,-,-
2573,2021/12,-10.8,7.7,-,-
2579,2021/12,-18,6.4,-,-
2586,2022/03,-0.8,-,-,-
2587,2021/12,-2.8,17.6,-,-
2593,2022/04,-6.6,-,-,-
2594,2022/03,14.2,-,-,-
2597,2021/12,-20.6,19.9,-,-
2599,2022/03,-30.8,-,-,-
2612,2022/03,-7.3,-,-,-
2652,2021/09,-2.1,0.9,23.9,-
2654,2022/03,1,-,-,-
2666,2022/03,13.2,-,-,-
2667,2021/09,14.2,-51.9,87.1,-
2673,2022/03,-53.8,-,-,-
2674,2022/03,20.9,-,-,-
