営業利益
四半期毎
前年同期比（%）
コード,年度,1Q,2Q,3Q,4Q
1301,2022/03,56.2,-,-,-
1332,2022/03,39.7,-,-,-
1333,2022/03,31.3,-,-,-
1352,2022/03,33.5,-,-,-
1375,2022/03,-352.2,-,-,-
1376,2021/05,19.1,,-2.1,7.2
1377,2021/05,21,53.4,16.4,4.2
1379,2022/03,赤転,-,-,-
1380,2022/03,-161.9,-,-,-
1381,2021/06,33.6,18.8,23.1,2
1382,2021/06,,3.4,黒転,89.4
1384,2022/03,84,-,-,-
1400,2021/12,-65.4,黒転,-,-
1401,2021/05,赤転,-107.1,-266.9,71.8
1407,2021/08,28.5,11,22.1,-
1413,2021/12,黒転,-12.7,-,-
1414,2021/06,33.6,16.3,15.2,7.7
1417,2022/03,63,-,-,-
1418,2022/02,赤転,-,-,-
1419,2021/05,-58.7,31.3,20.9,12.6
1420,2022/03,,-,-,-
1429,2021/12,-153.9,-111,-,-
1430,2021/05,24.3,-0.7,39.8,18.5
1431,2021/06,赤転,44.1,,黒転
1434,2021/08,黒転,4.8,44.4,-
1435,2021/12,黒転,黒転,-,-
1436,2021/04,黒転,-88.7,94,-126.6
1438,2021/09,48.4,-34.8,91.6,-
1439,2021/12,黒転,黒転,-,-
1443,2022/03,13.4,-,-,-
1446,2021/09,-107.4,-89.4,赤転,-
1447,2022/03,,-,-,-
1448,2022/03,黒転,-,-,-
1449,2021/12,2.1,黒転,-,-
1450,2022/03,6.5,-,-,-
1451,2022/03,65.7,-,-,-
1491,2022/03,90.8,-,-,-
1514,2022/03,黒転,-,-,-
1515,2022/03,68.4,-,-,-
1518,2022/03,51.7,-,-,-
1605,2021/12,4.9,80.5,-,-
1662,2022/03,黒転,-,-,-
1663,2021/12,9.5,-60.8,-,-
1711,2022/03,,-,-,-
1712,2022/02,31.7,-,-,-
1717,2022/03,17.5,-,-,-
1718,2021/12,8.1,赤転,-,-
1719,2022/03,-5.9,-,-,-
1720,2022/03,赤転,-,-,-
1721,2022/03,56.4,-,-,-
1723,2022/03,19.7,-,-,-
1724,2021/12,41.1,65.7,-,-
1726,2022/03,32.7,-,-,-
1730,2022/03,,-,-,-
1736,2022/03,19.1,-,-,-
1737,2022/03,赤転,-,-,-
1738,2022/03,黒転,-,-,-
1739,2021/06,24.6,18.7,-31.9,48.9
1743,2021/09,-12.3,71.3,52.9,-
1757,2022/03,,-,-,-
1762,2022/03,2.1,-,-,-
1764,2021/06,-23.4,黒転,-106.4,-181.6
1766,2021/04,34.1,18.2,15.9,7
1768,2022/03,-35.8,-,-,-
1770,2022/03,-27.5,-,-,-
1771,2021/09,51.5,24.8,,-
1775,2022/03,-105.6,-,-,-
1776,2022/03,赤転,-,-,-
1777,2022/03,100,-,-,-
1780,2022/03,79.8,-,-,-
1783,2021/09,黒転,黒転,,-
1787,2022/03,,-,-,-
1788,2021/06,-73.7,-3.3,44.5,
1789,2021/09,黒転,32.7,黒転,-
1793,2022/03,4.2,-,-,-
1795,2021/09,,-41.9,,-
1798,2022/03,41.2,-,-,-
1799,2022/03,-203.1,-,-,-
1801,2022/03,-417.2,-,-,-
1802,2022/03,-36.3,-,-,-
1803,2022/03,-433.4,-,-,-
1805,2022/03,10.9,-,-,-
1807,2022/03,98.8,-,-,-
1808,2022/03,41,-,-,-
1810,2022/03,-80.7,-,-,-
1811,2022/03,-1863,-,-,-
1812,2022/03,-45.9,-,-,-
1813,2022/03,-89.1,-,-,-
1814,2022/03,44.4,-,-,-
1815,2022/03,-46.1,-,-,-
1820,2022/03,47,-,-,-
1821,2022/03,-40.8,-,-,-
1822,2022/03,2.4,-,-,-
1824,2022/03,-399,-,-,-
1826,2022/03,-147.1,-,-,-
1827,2022/03,赤転,-,-,-
1828,2022/03,49,-,-,-
1832,2022/03,,-,-,-
1833,2022/03,61.4,-,-,-
1835,2022/03,-222.7,-,-,-
1841,2022/03,,-,-,-
1847,2022/03,47.9,-,-,-
1848,2022/03,60.5,-,-,-
1850,2022/03,62,-,-,-
1852,2022/03,-26.2,-,-,-
1853,2022/03,84.6,-,-,-
1860,2022/03,51.9,-,-,-
1861,2022/03,-50.8,-,-,-
1866,2022/03,-1141,-,-,-
1867,2022/03,黒転,-,-,-
1869,2022/03,13.6,-,-,-
1870,2022/03,-141.3,-,-,-
1871,2022/03,52.7,-,-,-
1878,2022/03,12.5,-,-,-
1879,2022/03,-13.3,-,-,-
1881,2022/03,-214.1,-,-,-
1882,2022/03,96.8,-,-,-
1883,2022/03,-156.8,-,-,-
1884,2022/03,-128,-,-,-
