経常利益
四半期毎
前年同期比（%）
コード,年度,1Q,2Q,3Q,4Q
1301,2022/03,56.3,-,-,-
1332,2022/03,33.9,-,-,-
1333,2022/03,35,-,-,-
1352,2022/03,35.1,-,-,-
1376,2021/05,15,,3.2,5
1377,2021/05,17.7,41.1,8.3,17
1379,2022/03,赤転,-,-,-
1380,2022/03,-91.1,-,-,-
1381,2021/06,33.2,17.2,25.4,3.7
1382,2021/06,,3.4,黒転,87.4
1383,2021/10,,46.8,-,-
1384,2022/03,81.3,-,-,-
1400,2021/12,-61.3,黒転,-,-
1401,2021/05,-948.1,-89,-306.8,67.4
1407,2021/08,29.1,6.5,32.4,-
1413,2021/12,黒転,-12.9,-,-
1414,2021/06,33.5,19.6,14.8,0
1417,2022/03,50.2,-,-,-
1418,2022/02,赤転,-,-,-
1419,2021/05,-56.6,32.8,26.5,12.5
1420,2022/03,,-,-,-
1429,2021/12,-157.9,-107.9,-,-
1430,2021/05,13.4,-9.4,35.6,20.9
1431,2021/06,赤転,42.9,,黒転
1433,2022/01,91.7,-,-,-
1434,2021/08,黒転,4.8,42.4,-
1435,2021/12,黒転,黒転,-,-
1436,2021/04,黒転,-96,97.5,-46
1438,2021/09,56.5,-34.2,89.5,-
1439,2021/12,黒転,黒転,-,-
1443,2022/03,37.7,-,-,-
1444,2021/07,-37.6,-59.3,45.3,-
1446,2021/09,-11.6,-92.8,赤転,-
1447,2022/03,,-,-,-
1448,2022/03,59.7,-,-,-
1449,2021/12,1.5,黒転,-,-
1450,2022/03,5.6,-,-,-
1451,2022/03,84.9,-,-,-
1491,2022/03,93.7,-,-,-
1514,2022/03,黒転,-,-,-
1515,2022/03,64.4,-,-,-
1518,2022/03,-35.2,-,-,-
1605,2021/12,-1.6,63.5,-,-
1662,2022/03,黒転,-,-,-
1663,2021/12,10.4,-53.1,-,-
1711,2022/03,,-,-,-
1712,2022/02,27.3,-,-,-
1716,2021/06,27.7,-16.6,-34.6,-
1717,2022/03,17.6,-,-,-
1718,2021/12,10.8,赤転,-,-
1719,2022/03,3.6,-,-,-
1720,2022/03,赤転,-,-,-
1721,2022/03,53.5,-,-,-
1723,2022/03,17.7,-,-,-
1724,2021/12,55.1,51.2,-,-
1726,2022/03,34.3,-,-,-
1728,2021/03,,-107.6,,60.8
1730,2020/03,,,-178.9,-42.2
1734,2021/03,,-371.8,-10.4,-296.1
1736,2022/03,9.9,-,-,-
1737,2022/03,赤転,-,-,-
1738,2022/03,黒転,-,-,-
1739,2021/06,52.9,25.1,-38.9,53.3
1743,2021/09,-11.3,73.6,52.1,-
1757,2022/03,,-,-,-
1758,2022/01,-11.1,-,-,-
1762,2022/03,5.5,-,-,-
1764,2021/06,-19.4,黒転,-85.8,-228.7
1766,2021/04,41.7,18.3,16.7,5
1768,2022/03,-32.2,-,-,-
1770,2022/03,7.6,-,-,-
1771,2021/09,48.6,24.7,,-
1775,2022/03,-151.6,-,-,-
1776,2022/03,赤転,-,-,-
1777,2022/03,96.3,-,-,-
1780,2022/03,73.9,-,-,-
1782,2021/03,29,-23.5,25.8,-21.9
1783,2021/09,黒転,黒転,,-
1787,2022/03,,-,-,-
1788,2021/06,-58.1,-13.5,43.4,
1789,2021/09,黒転,36,黒転,-
1793,2022/03,1.7,-,-,-
1795,2021/09,,-41,,-
1798,2022/03,34,-,-,-
1799,2022/03,-94.3,-,-,-
1801,2022/03,-240.8,-,-,-
1802,2022/03,-27,-,-,-
1803,2022/03,-295.3,-,-,-
1805,2022/03,7.1,-,-,-
1807,2022/03,78.2,-,-,-
1808,2022/03,48.8,-,-,-
1810,2022/03,-65.3,-,-,-
1811,2022/03,-204.6,-,-,-
1812,2022/03,-34.3,-,-,-
1813,2022/03,-87.8,-,-,-
1814,2022/03,42.7,-,-,-
1815,2022/03,-43.2,-,-,-
1820,2022/03,44.6,-,-,-
1821,2022/03,-19.5,-,-,-
1822,2022/03,-7.5,-,-,-
1824,2022/03,-536.3,-,-,-
1826,2022/03,-137.8,-,-,-
1827,2022/03,赤転,-,-,-
1828,2022/03,47.6,-,-,-
1832,2022/03,,-,-,-
1833,2022/03,45.7,-,-,-
1835,2022/03,-176,-,-,-
1840,2021/10,,黒転,-,-
1841,2022/03,,-,-,-
1844,2021/07,-287.7,50.5,21.1,-
1847,2022/03,48.4,-,-,-
1848,2022/03,62.7,-,-,-
1850,2022/03,61.8,-,-,-
1852,2022/03,-17.9,-,-,-
1853,2022/03,79.6,-,-,-
1860,2022/03,42.9,-,-,-
1861,2022/03,-49.2,-,-,-
1866,2022/03,-44.9,-,-,-
1867,2022/03,黒転,-,-,-
1869,2022/03,12.1,-,-,-
1870,2022/03,-137.7,-,-,-
1871,2022/03,53.3,-,-,-
1873,2021/10,,,-,-
1878,2022/03,11.7,-,-,-
1879,2022/03,-12.8,-,-,-
1881,2022/03,-170,-,-,-
1882,2022/03,80.7,-,-,-
1883,2022/03,-162,-,-,-
1884,2022/03,-111.3,-,-,-
1885,2022/03,15.3,-,-,-
1887,2021/05,-142.7,-22.7,77.5,41.1
1888,2022/03,90.4,-,-,-
1890,2022/03,-16.6,-,-,-
1892,2022/03,-35.6,-,-,-
1893,2022/03,-48,-,-,-
1897,2021/12,-55.9,赤転,-,-
1898,2022/03,33,-,-,-
1899,2021/12,34.8,3,-,-
1904,2022/03,,-,-,-
1905,2022/03,黒転,-,-,-
