純利益
四半期毎
前年同期比（%）
コード,年度,1Q,2Q,3Q,4Q
1301,2022/03,51.9,-,-,-
1332,2022/03,38.5,-,-,-
1333,2022/03,48.7,-,-,-
1352,2022/03,62.2,-,-,-
1375,2022/03,-801.9,-,-,-
1376,2021/05,16.4,,5.5,22.9
1377,2021/05,22.2,43.7,1.3,18.2
1379,2022/03,赤転,-,-,-
1380,2022/03,-122.8,-,-,-
1381,2021/06,33.3,17.9,28.3,-6.9
1382,2021/06,,2.3,黒転,74.3
1383,2021/10,,78.5,-,-
1384,2022/03,84.2,-,-,-
1400,2021/12,-11.1,黒転,-,-
1401,2021/05,-2547.8,-87.4,47.5,68.3
1407,2021/08,28.5,4.3,27.4,-
1413,2021/12,,5.3,-,-
1414,2021/06,33.8,21.7,17.1,12.3
1417,2022/03,53.4,-,-,-
1418,2022/02,赤転,-,-,-
1419,2021/05,-5.7,38.1,20.3,41.7
1420,2022/03,,-,-,-
1429,2021/12,-164.8,-118.7,-,-
1430,2021/05,16.2,-9.9,47.7,23.2
1431,2021/06,赤転,42.1,,黒転
1433,2022/01,95.5,-,-,-
1434,2021/08,黒転,-26.3,11.7,-
1435,2021/12,黒転,黒転,-,-
1436,2021/04,黒転,-205,黒転,-47
1438,2021/09,58.7,-38.6,92.3,-
1439,2021/12,黒転,黒転,-,-
1443,2022/03,54.3,-,-,-
1444,2021/07,-44.2,-69.4,57.4,-
1446,2021/09,,-123.4,赤転,-
1447,2022/03,,-,-,-
1448,2022/03,黒転,-,-,-
1449,2021/12,-1,黒転,-,-
1450,2022/03,6.3,-,-,-
1451,2022/03,93.1,-,-,-
1491,2022/03,92.6,-,-,-
1514,2022/03,黒転,-,-,-
1515,2022/03,60.8,-,-,-
1518,2022/03,-66.2,-,-,-
1605,2021/12,12.1,黒転,-,-
1662,2022/03,黒転,-,-,-
1663,2021/12,11.6,-46.9,-,-
1711,2022/03,,-,-,-
1712,2022/02,29.3,-,-,-
1716,2021/06,20,-18.5,-38.6,-
1717,2022/03,17.7,-,-,-
1718,2021/12,2.5,赤転,-,-
1719,2022/03,3.4,-,-,-
1720,2022/03,赤転,-,-,-
1721,2022/03,51.2,-,-,-
1723,2022/03,18.7,-,-,-
1724,2021/12,57.8,37.5,-,-
1726,2022/03,39.5,-,-,-
1728,2021/03,,-112.2,,49.1
1730,2022/03,赤転,-,-,-
1734,2021/03,,-375.6,-38.2,赤転
1736,2022/03,3.7,-,-,-
1737,2022/03,赤転,-,-,-
1738,2022/03,黒転,-,-,-
1739,2021/06,51.9,28.3,-40.7,53.2
1743,2021/09,0.4,80.7,52.5,-
1757,2022/03,,-,-,-
1758,2022/01,-3.1,-,-,-
1762,2022/03,28,-,-,-
1764,2021/06,-151.2,黒転,-104.8,-
1766,2021/04,41.5,20,19,-30.7
1768,2022/03,-32.5,-,-,-
1770,2022/03,18.7,-,-,-
1771,2021/09,51.7,24.5,,-
1775,2022/03,-246.3,-,-,-
1776,2022/03,赤転,-,-,-
1777,2022/03,98.1,-,-,-
1780,2022/03,81.1,-,-,-
1782,2021/03,31.9,13.7,23.1,-24.4
1783,2021/09,黒転,黒転,,-
1787,2022/03,,-,-,-
1788,2021/06,-72.8,-14.3,19.9,
1789,2021/09,黒転,26.1,黒転,-
1793,2022/03,4.1,-,-,-
1795,2021/09,,-40.4,,-
1798,2022/03,23.5,-,-,-
1799,2022/03,-65.7,-,-,-
1801,2022/03,-204.9,-,-,-
1802,2022/03,-85.1,-,-,-
1803,2022/03,-197.2,-,-,-
1805,2022/03,16.8,-,-,-
1807,2022/03,黒転,-,-,-
1808,2022/03,48.6,-,-,-
1810,2022/03,-67.7,-,-,-
1811,2022/03,-182.6,-,-,-
1812,2022/03,-19.9,-,-,-
1813,2022/03,-101.4,-,-,-
1814,2022/03,34.8,-,-,-
1815,2022/03,-50.5,-,-,-
1820,2022/03,57,-,-,-
1821,2022/03,-21.5,-,-,-
1822,2022/03,-13.9,-,-,-
1824,2022/03,-3011,-,-,-
1826,2022/03,-36.5,-,-,-
1827,2022/03,赤転,-,-,-
1828,2022/03,51.3,-,-,-
1832,2022/03,,-,-,-
1833,2022/03,46.6,-,-,-
1835,2022/03,-56.6,-,-,-
1840,2021/10,,,-,-
1841,2022/03,,-,-,-
1844,2021/07,-405.2,62,34.3,-
1847,2022/03,49.4,-,-,-
1848,2022/03,64.6,-,-,-
1850,2022/03,58.9,-,-,-
1852,2022/03,-23.3,-,-,-
1853,2022/03,83.8,-,-,-
1860,2022/03,76.4,-,-,-
1861,2022/03,-34.4,-,-,-
1866,2022/03,19,-,-,-
1867,2022/03,黒転,-,-,-
1869,2022/03,30.3,-,-,-
1870,2022/03,-133.1,-,-,-
1871,2022/03,51.8,-,-,-
1873,2021/10,,,-,-
1878,2022/03,9.1,-,-,-
1879,2022/03,-12.9,-,-,-
1881,2022/03,-192.1,-,-,-
1882,2022/03,黒転,-,-,-
1883,2022/03,-198.9,-,-,-
1884,2022/03,-112.2,-,-,-
1885,2022/03,23.9,-,-,-
1887,2021/05,-98.4,-18.6,78.8,-15.8
1888,2022/03,90.9,-,-,-
1890,2022/03,-20.5,-,-,-
1892,2022/03,-90.6,-,-,-
1893,2022/03,-30.8,-,-,-
1897,2021/12,-56.5,赤転,-,-
1898,2022/03,10.8,-,-,-
1899,2021/12,29.6,16.9,-,-
1904,2022/03,,-,-,-
1905,2022/03,黒転,-,-,-
1909,2022/03,-4.4,-,-,-
1911,2021/12,55.8,35.1,-,-
1914,2022/03,赤転,-,-,-
1921,2022/03,74.1,-,-,-
1925,2022/03,14.6,-,-,-
1926,2022/03,24,-,-,-
1928,2022/01,15.3,-,-,-
1929,2022/03,-127.6,-,-,-
1930,2022/03,-53.5,-,-,-
1934,2022/03,,-,-,-
1938,2022/03,赤転,-,-,-
1939,2022/03,35.6,-,-,-
1941,2022/03,赤転,-,-,-
1942,2022/03,3.2,-,-,-
1944,2022/03,-18.5,-,-,-
1945,2022/03,赤転,-,-,-
1946,2022/03,-0.7,-,-,-
1948,2022/03,,-,-,-
1949,2022/03,-16.7,-,-,-
1950,2022/03,赤転,-,-,-
1951,2022/03,44.5,-,-,-
1952,2022/03,74.9,-,-,-
1954,2021/06,,,30,黒転
1959,2022/03,18.1,-,-,-
1960,2022/03,,-,-,-
1961,2022/03,赤転,-,-,-
1963,2022/03,赤転,-,-,-
1964,2022/03,,-,-,-
1965,2022/03,43.8,-,-,-
1966,2022/03,-339.9,-,-,-
1967,2021/03,-15,-68.5,-71.7,65.1
1968,2022/03,50.3,-,-,-
1969,2022/03,,-,-,-
1971,2022/03,黒転,-,-,-
1972,2022/03,1.6,-,-,-
1973,2022/03,80.3,-,-,-
1975,2022/03,赤転,-,-,-
1976,2022/03,29.9,-,-,-
1979,2022/03,-16.5,-,-,-
1980,2022/03,-243.3,-,-,-
1981,2022/03,-445.3,-,-,-
1982,2022/03,52.2,-,-,-
1992,2022/03,黒転,-,-,-
1994,2021/12,61.7,75.3,-,-
1997,2021/08,-77.6,22.9,30.3,-
1999,2021/06,-162.2,15.7,34.5,-12.2
2001,2021/03,-47.8,15.6,-4.7,12.9
2002,2022/03,21.7,-,-,-
2003,2022/03,-4.2,-,-,-
2004,2022/03,-133.2,-,-,-
2009,2021/12,90.6,47.5,-,-
