code,name_x,market,category,is225,Ncate,cate_name2,status,単位,day,memo,action,buy_price,sell_price,収益,収益率,name_x,sales_up[%],eiri_up[%],keiri_up[%],eiri/sales,,sales_2019,sales_2020,eiri_2019,eiri_2020,keiri_2019,keiri_2020,pure_2017,pure_2018,pure_2019,pure_2020,eps_2017,eps_2018,eps_2019,eps_2020,roe_2017,roe_2018,roe_2019,roe_2020,roa_2017,roa_2018,roa_2019,roa_2020
6937,古河電池(株),T1,電気機器,0.0,31,electorical_pro,0,1,6/18,自動車/産業用/データセンタ向け,,¥598,¥1700,¥110200,184.28,古河電池(株),1.4,17.6,20.0,5.1,,63600000000.0,64486000000.0,2801000000.0,3293000000.0,2698000000.0,3237000000.0,2373000000.0,2136000000.0,2267000000.0,2238000000.0,72.39,65.17,69.16,68.28,11.52,9.17,9.14,8.44,4.31,3.88,4.18,4.14
6619,ダブル・スコープ(株),T1,電気機器,0.0,31,electorical_pro,0,1,,サムスン向け半導体　/ ,,¥466,¥760,¥29400,63.09,ダブル・スコープ(株),0.0,0.0,0.0,-25.0,,13167000000.0,13167000000.0,-3286000000.0,-3286000000.0,-3950000000.0,-3950000000.0,-119000000.0,-2861000000.0,-3517000000.0,-3517000000.0,-3.82,-91.51,-108.34,-108.34,,,,,,,,
4572,カルナバイオサイエンス(株),JQG,医薬品,0.0,11,medicine,0,1,,20/02-コロナ/先行研究/,,¥1510,¥1604,¥9400,6.23,カルナバイオサイエンス(株),0.0,0.0,0.0,30.5,,3207423000.0,3207423000.0,977778000.0,977778000.0,957161000.0,957161000.0,-737264000.0,-1210573000.0,828289000.0,828289000.0,-78.53,-125.02,76.05,76.05,,,21.55,21.55,,,15.41,15.41
3978,(株)マクロミル,T1,情報・通信,0.0,15,infomation,0,1,,20/02-AI需要/マーケティング/DX,,¥669,¥676,¥700,1.05,(株)マクロミル,0.0,0.0,,17.5,,44279000000.0,44279000000.0,7751000000.0,7751000000.0,,,3706000000.0,4719000000.0,4702000000.0,4702000000.0,97.1,120.19,117.88,117.88,18.21,18.68,15.82,15.82,5.23,6.27,6.0,6.0
3627,ネオス(株),T1,情報・通信,0.0,15,infomation,0,1,6/9,20/02-中国/デバイス子会社/教育/AI/期待以上に上がらなかったが,,¥740,¥700,-¥4000,-5.41,ネオス(株),21.5,73.5,76.9,8.1,,8902848000.0,10815726000.0,504494000.0,875519000.0,481639000.0,852114000.0,-358078000.0,-646496000.0,436427000.0,566877000.0,-41.87,-72.39,44.13,49.71,,,13.03,11.6,,,8.64,6.67
3401,帝人(株),T1,繊維製品,1.0,22,fiber,0,1,,20/02-帝人ファーマ関連/治験,,¥1662,¥1740,¥7800,4.69,帝人(株),-3.9,-6.3,-9.8,6.6,,888589000000.0,853746000000.0,60000000000.0,56205000000.0,60264000000.0,54337000000.0,50133000000.0,45556000000.0,45057000000.0,25252000000.0,254.91,231.26,232.39,131.63,14.82,11.59,10.97,6.41,5.2,4.64,4.41,2.51
6826,本多通信工業(株),T1,電気機器,0.0,31,electorical_pro,1,0,,5G/通信コネクタ/車載_車開発再開で/自社株買い/データセンタ向け,,¥431,¥600,¥0,39.21,本多通信工業(株),-15.2,-79.2,-86.7,1.6,,17606000000.0,14923000000.0,1141000000.0,237000000.0,1184000000.0,157000000.0,1542000000.0,1625000000.0,765000000.0,43000000.0,63.97,67.87,32.04,1.86,14.16,13.51,6.35,0.38,10.34,9.86,4.8,0.29
6723,ルネサスエレクトロニクス(株),T1,電気機器,0.0,31,electorical_pro,1,1,6/19,自社株買い/データセンタ向け,,¥622,¥800,¥17800,28.62,ルネサスエレクトロニクス(株),0.0,0.0,,1.0,,718243000000.0,718243000000.0,6845000000.0,6845000000.0,,,102025000000.0,50989000000.0,-5914000000.0,-6317000000.0,61.2,30.57,-3.49,-3.73,17.08,8.79,,,8.98,4.83,,
6662,(株)ユビテック,JQS,電気機器,0.0,31,electorical_pro,1,1,,-,,¥254,¥500,¥24600,96.85,(株)ユビテック,0.0,0.0,0.0,7.0,,1876087000.0,1876087000.0,131291000.0,131291000.0,132261000.0,132261000.0,72705000.0,138175000.0,88342000.0,88342000.0,5.02,9.45,6.04,6.04,2.35,4.3,2.71,2.71,2.02,3.7,2.43,2.43
6255,(株)エヌ・ピー・シー,MO,機械,0.0,16,machine,1,1,6/19,太陽電池後行程/カリフォルニア義務化/真空ラミネータも/利益率部品,,¥367,¥500,¥13300,36.24,(株)エヌ・ピー・シー,0.0,0.0,0.0,10.0,,6878000000.0,6878000000.0,686000000.0,686000000.0,659000000.0,659000000.0,282908000.0,410612000.0,680000000.0,680000000.0,12.83,18.62,30.84,30.84,5.26,7.1,10.59,10.59,3.56,5.1,8.58,8.58
5809,タツタ電線(株),T1,非鉄金属,0.0,32,no_Fe,1,1,6/17,５G用/オリンピック後も/５G対応品,,¥592,¥700,¥10800,18.24,タツタ電線(株),0.3,-7.0,-4.2,6.5,,57995000000.0,58171000000.0,4067000000.0,3781000000.0,4087000000.0,3917000000.0,3324000000.0,3677000000.0,2926000000.0,2740000000.0,52.77,59.51,47.36,44.35,8.71,8.88,6.75,6.21,7.05,7.14,5.58,4.98
5563,新日本電工(株),T1,鉄鋼,0.0,26,Fe,1,2,6/17,傘下ジルコニア/5g向けコンデンサ/新日鉄案件/応援企業,,¥165,¥300,¥27000,81.82,新日本電工(株),0.0,0.0,0.0,-7.9,,70477000000.0,70477000000.0,-5572000000.0,-5572000000.0,-6426000000.0,-6426000000.0,7988000000.0,2352000000.0,-14240000000.0,-14240000000.0,54.55,16.06,-97.19,-97.19,11.3,3.41,,,8.11,2.36,,
5208,(株)有沢製作所,T1,化学,0.0,10,chemical,1,1,6/19,半導体向け製品/u1.5/スマホ/電子材料/メイン事業は増収/利益率現象もキャッシュ維持,,¥808,¥1000,¥19200,23.76,(株)有沢製作所,2.8,-11.5,-35.2,6.0,,44728000000.0,45970000000.0,3119562000.0,2762000000.0,4297000000.0,2783000000.0,2037000000.0,3453727000.0,2861000000.0,212000000.0,57.2,96.35,79.14,6.11,4.42,6.96,5.65,0.46,3.19,4.77,3.91,0.3
4583,(株)カイオム・バイオサイエンス,MO,医薬品,0.0,11,medicine,1,2,,コロナ/先行研究/,,¥354,¥500,¥29200,41.24,(株)カイオム・バイオサイエンス,0.0,0.0,0.0,-313.2,,447576000.0,447576000.0,-1401939000.0,-1401939000.0,-1410314000.0,-1410314000.0,-882570000.0,-1533502000.0,-1403821000.0,-1403821000.0,-33.48,-57.26,-44.61,-44.61,,,,,,,,
4582,シンバイオ製薬(株),JQG,医薬品,0.0,11,medicine,1,1,6/9,エーザイ向け/トレアキン/エーザイからの独立/率,,¥478,¥800,¥32200,67.36,シンバイオ製薬(株),0.0,0.0,0.0,-151.6,,2837753000.0,2837753000.0,-4301615000.0,-4301615000.0,-4376655000.0,-4376655000.0,-3977862000.0,-2752533000.0,-4376258000.0,-4376258000.0,-319.14,-165.54,-189.03,-189.03,,,,,,,,
4541,日医工(株),T1,医薬品,0.0,11,medicine,1,1,,ワクチン/ナルモスタット/血液凝固/フサン/治験,,¥1412,¥1700,¥28800,20.4,日医工(株),14.1,-65.1,,1.5,,166592000000.0,190076000000.0,8223000000.0,2873000000.0,,,4796000000.0,8070000000.0,6864000000.0,5133000000.0,84.22,143.18,115.45,80.41,5.01,9.22,5.9,4.43,1.78,2.9,2.24,1.52
3843,フリービット(株),T1,情報・通信,0.0,15,infomation,1,,,ネット接続需要/施設/ネット接続向けインフラ提供/タブレット活用の提案,,,,,,フリービット(株),0.0,0.0,0.0,5.9,,50365834000.0,50365834000.0,2981000000.0,2981000000.0,2569393000.0,2569393000.0,-150359000.0,-567313000.0,279337000.0,279337000.0,-6.77,-25.56,12.59,12.59,,,3.1,3.1,,,0.71,0.71
3782,(株)ディー・ディー・エス,MO,情報・通信,0.0,15,infomation,1,1,6/19,バイオメトリクス/指紋認証/テレワークで引き合い/ダイワボウ先,,¥255,¥600,¥34500,135.29,(株)ディー・ディー・エス,0.0,0.0,0.0,-14.2,,1164019000.0,1164019000.0,-164877000.0,-164877000.0,-266754000.0,-266754000.0,-215885000.0,-909821000.0,23180000.0,23180000.0,-5.69,-22.6,0.56,0.56,,,1.47,1.47,,,1.16,1.16
3776,(株)ブロードバンドタワー,JQS,情報・通信,0.0,15,infomation,1,2,6/15,都市型DC/５G対応DC/不動産と提携/提案も,,¥234,¥400,¥33200,70.94,(株)ブロードバンドタワー,0.0,0.0,0.1,-2.1,,14660000000.0,14660370000.0,-303000000.0,-303000000.0,-352000000.0,-352259000.0,427091000.0,165168000.0,-912000000.0,-912852000.0,8.37,3.22,-16.32,-16.34,5.3,2.29,,,3.16,0.71,,
3666,(株)テクノスジャパン,T1,情報・通信,0.0,15,infomation,1,1,6/19,sap/セールスフォース/ERP需要/アクセンチュア案件,,¥603,¥900,¥29700,49.25,(株)テクノスジャパン,10.1,-64.0,-63.8,3.7,,6975144000.0,7677000000.0,782597000.0,282000000.0,848568000.0,307000000.0,471428000.0,419583000.0,1411537000.0,130000000.0,23.64,21.25,71.58,6.59,13.71,13.04,26.48,2.99,10.09,10.02,19.12,2.17
3660,(株)アイスタイル,T1,情報・通信,0.0,15,infomation,1,1,,EC/化粧品出店の増加,,¥319,¥500,¥18100,56.74,(株)アイスタイル,0.0,0.0,0.0,1.5,,32193000000.0,32193000000.0,476000000.0,476000000.0,380000000.0,380000000.0,1076000000.0,1184000000.0,-519000000.0,-519000000.0,18.51,18.62,-8.04,-8.04,9.99,10.2,,,5.93,5.4,,
3356,(株)テリロジー,JQS,卸売業,0.0,12,oroshi,1,1,6/19,HISYS案件/セキュリティ製品/ITセキュ好調/u1.8,,¥676,¥900,¥22400,33.14,(株)テリロジー,10.7,7.7,25.4,6.5,,3660143000.0,4051000000.0,244191000.0,263000000.0,229692000.0,288000000.0,-99368000.0,154066000.0,207360000.0,214000000.0,-6.46,10.02,13.45,12.99,,20.21,14.41,9.44,,4.93,6.49,5.09
3042,(株)セキュアヴェイル,JQG,情報・通信,0.0,15,infomation,1,1,6/19,u2/専門領域特化/セキュリティサービス良,,¥843,¥1100,¥25700,30.49,(株)セキュアヴェイル,22.7,76.1,97.1,6.5,,969481000.0,1190000000.0,43735000.0,77000000.0,39574000.0,78000000.0,42932000.0,6899000.0,26980000.0,56000000.0,13.23,2.13,8.14,16.56,8.28,1.31,3.83,7.37,6.17,0.96,2.61,4.99
2930,(株)北の達人コーポレーション,T1,食料品,0.0,33,food,1,0,6/29,dd/勢い衰え/台湾向け-/化粧品健康品/営業利益30%/増収・増益/,,¥574,¥800,¥0,39.37,(株)北の達人コーポレーション,21.4,56.6,57.1,28.9,,8312465000.0,10093343000.0,1861760000.0,2915329000.0,1861512000.0,2923996000.0,356728000.0,948370000.0,1293245000.0,1974824000.0,1.35,7.21,9.3,14.21,23.1,40.45,43.95,45.43,15.58,27.24,30.5,33.46
2395,(株)新日本科学,T1,サービス業,0.0,5,service,1,1,6/17,開発費/増益/海外好調/ユニークうなぎ/キクラゲ,,¥680,¥1000,¥32000,47.06,(株)新日本科学,-7.0,168.5,93.4,15.3,,15658678000.0,14561000000.0,829795000.0,2228000000.0,1613653000.0,3121000000.0,-915938000.0,-3555948000.0,1950307000.0,2550000000.0,-22.18,-85.41,46.85,61.25,,,6.87,15.66,,,3.59,6.54
2354,(株)ＹＥ　ＤＩＧＩＴＡＬ,T2,情報・通信,0.0,15,infomation,1,,,ud/非開示で増益/安川/富士通向け/安定成長/ローカルIT地盤強み,,¥656,,,,(株)ＹＥ　ＤＩＧＩＴＡＬ,10.8,27.3,25.4,4.2,,12451473000.0,13794354000.0,459564000.0,585163000.0,467063000.0,585930000.0,711116000.0,972782000.0,203014000.0,378006000.0,39.51,54.03,11.26,20.88,52.88,37.6,7.17,11.73,9.43,11.49,2.31,3.97
1417,(株)ミライト・ホールディングス,T1,建設業,0.0,14,kensetsu,1,,6/21,大幅増益/5G本格化/拡大基調/工事増加/自己株,,¥1400,,,,(株)ミライト・ホールディングス,17.4,6.3,5.5,5.0,,375911000000.0,441166000000.0,20699000000.0,21993000000.0,21992000000.0,23207000000.0,6437000000.0,11504000000.0,25711000000.0,15220000000.0,79.81,145.4,295.33,149.92,5.19,8.38,13.09,7.07,2.98,4.91,7.76,4.32
7459,(株)メディパルホールディングス,T1,卸売業,0.0,12,oroshi,A,,,医薬品卸メディセオ/palec高採算/増収増益,,,,,,(株)メディパルホールディングス,2.2,6.6,6.4,1.6,,3181928000000.0,3253079000000.0,49827000000.0,53109000000.0,63914000000.0,68020000000.0,29011000000.0,34780000000.0,34359000000.0,37968000000.0,128.12,154.13,154.08,175.8,6.57,7.18,6.91,7.59,1.9,2.15,2.12,2.31
7433,伯東(株),T1,卸売業,0.0,12,oroshi,A,,,半導体/聞き商社/5g関連で内需拡大/br.4光通信部品,,,,,,伯東(株),9.3,-33.7,-40.3,1.6,,140123000000.0,153182000000.0,3642000000.0,2414000000.0,3580000000.0,2139000000.0,1903000000.0,3287000000.0,2473000000.0,1439000000.0,87.19,156.2,118.59,70.01,3.61,6.13,4.53,2.66,2.43,3.88,2.82,1.28
7245,大同メタル工業(株),T1,輸送用機器,0.0,24,transport_pro,A,,,軸受メタル/自動車世界３割/中国・アメリカ,,,,,,大同メタル工業(株),-7.0,-36.8,-44.8,4.2,,107718000000.0,100159000000.0,6599000000.0,4168000000.0,6630000000.0,3660000000.0,2635000000.0,3281000000.0,4135000000.0,2740000000.0,66.18,82.4,93.7,58.21,5.83,6.65,7.3,4.89,1.7,2.04,2.55,1.72
6976,太陽誘電(株),T1,電気機器,1.0,31,electorical_pro,A,,,スマホ向け/セラミックコンデンサ世界首位/増収増えeuro/5G,,¥3140,,,,太陽誘電(株),2.9,5.5,2.4,13.2,,274349000000.0,282329000000.0,35237000000.0,37176000000.0,34351000000.0,35165000000.0,5428000000.0,16355000000.0,23687000000.0,18022000000.0,46.07,138.8,189.92,143.03,3.53,9.63,11.53,8.59,2.0,5.7,7.2,5.25
6849,日本光電,T1,電気機器,0.0,31,electorical_pro,A,,,医療機器,,¥3365,,,,日本光電,3.5,3.1,-6.4,8.4,,178799000000.0,185007000000.0,15044000000.0,15503000000.0,15867000000.0,14846000000.0,9149000000.0,9154000000.0,11191000000.0,9854000000.0,106.81,106.92,131.42,115.72,8.81,8.37,9.64,8.09,5.99,5.8,6.59,5.87
6663,太洋工業(株),JQS,電気機器,0.0,31,electorical_pro,A,,,黒字化/FPC試作品/検査販売/キャノン向け,,¥397,,,,太洋工業(株),0.0,0.0,0.0,-2.9,,3896341000.0,3896341000.0,-113769000.0,-113769000.0,-87848000.0,-87848000.0,5366000.0,69341000.0,-213563000.0,-213563000.0,0.92,11.82,-36.38,-36.38,0.17,2.13,,,0.1,1.32,,
6656,インスペック(株),T2,電気機器,0.0,31,electorical_pro,A,,,半導体最終/台湾/AOI,,¥4030,,,,インスペック(株),-17.5,-86.1,-65.2,1.9,,2847404000.0,2348000000.0,316012000.0,44000000.0,281366000.0,98000000.0,106316000.0,-463121000.0,222017000.0,70000000.0,40.81,-143.61,67.37,19.97,13.21,,19.42,3.87,4.27,,7.34,1.84
6558,クックビズ(株),MO,サービス業,0.0,5,service,A,,,高成長u5/飲食特化/人材紹介/広告,,¥2145,,,,クックビズ(株),0.0,0.0,0.0,7.6,,2973302000.0,2973302000.0,226705000.0,226705000.0,227672000.0,227672000.0,171274000.0,71081000.0,139718000.0,139718000.0,94.48,32.73,63.34,63.34,18.08,6.18,10.32,10.32,11.69,4.46,6.9,6.9
6518,三相電機(株),JQS,電気機器,0.0,31,electorical_pro,A,,7/4,中国向/br43/底入れ？,,,,,,三相電機(株),-13.2,-71.5,-68.4,1.8,,15804098000.0,13719000000.0,859000000.0,245000000.0,893114000.0,282000000.0,807160000.0,798247000.0,657479000.0,172000000.0,179.07,177.15,146.1,38.37,10.47,9.29,7.36,1.95,5.13,4.86,3.96,1.12
6356,日本ギア工業(株),T1,機械,0.0,16,machine,A,,7/4,歯車事業,,,,,,日本ギア工業(株),2.5,23.2,22.0,7.5,,7393876000.0,7579000000.0,461119000.0,568000000.0,473827000.0,578000000.0,686352000.0,217552000.0,317258000.0,395000000.0,48.37,15.33,22.36,27.81,9.16,2.83,4.04,4.83,6.39,2.06,2.85,3.5
6315,ＴＯＷＡ(株),T1,機械,0.0,16,machine,A,,,後半盛り返し/５ｇ銘柄/半導体後行程/マレーシア新工場/21増益見込み,,¥962,,,,ＴＯＷＡ(株),-10.7,-13.3,-31.2,3.2,,28272099000.0,25255000000.0,937000000.0,812000000.0,939733000.0,647000000.0,3867544000.0,3026581000.0,877692000.0,368000000.0,154.64,121.02,35.09,14.71,15.66,10.85,3.18,1.37,10.73,7.6,2.0,0.85
6192,ハイアス・アンド・カンパニー(株),MO,サービス業,0.0,5,service,A,,7/4,住宅関連コンサルテーション,,,,,,ハイアス・アンド・カンパニー(株),29.9,-53.7,-55.8,2.4,,6099605000.0,7921000000.0,416538000.0,193000000.0,414193000.0,183000000.0,185115000.0,200638000.0,240541000.0,23000000.0,8.31,8.97,10.68,1.0,16.36,19.58,18.07,1.82,9.71,7.89,6.2,0.59
6155,高松機械工業(株),T2,機械,0.0,16,machine,A,,,中小型NC旋盤/新工場/u1.5br.53,,,,,,高松機械工業(株),-3.1,-20.1,-17.9,8.5,,22650000000.0,21947000000.0,2329000000.0,1860000000.0,2500000000.0,2053000000.0,730000000.0,1116000000.0,1708000000.0,1415000000.0,66.42,102.52,158.03,130.68,5.92,8.42,11.79,9.02,3.66,5.09,7.2,5.83
6134,(株)ＦＵＪＩ,T1,機械,0.0,16,machine,A,,,電子部品向けtop/海外88,,,,,,(株)ＦＵＪＩ,9.2,-15.3,-14.2,13.9,,129104000000.0,140967000000.0,23106000000.0,19571000000.0,23454000000.0,20119000000.0,7054000000.0,17523000000.0,16855000000.0,14963000000.0,76.18,195.03,184.52,163.81,5.4,11.59,10.44,8.93,4.45,9.57,8.67,7.54
6095,メドピア(株),MO,サービス業,0.0,5,service,A,,7/4,医師向けサイト/買収/コンテンツ政策,,,,,,メドピア(株),0.0,0.0,0.0,18.3,,3045538000.0,3045538000.0,558431000.0,558431000.0,554922000.0,554922000.0,-363270000.0,206332000.0,394850000.0,394850000.0,-20.9,11.46,21.04,21.04,,12.6,12.18,12.18,,8.03,9.85,9.85
6055,ジャパンマテリアル(株),T1,サービス業,0.0,5,service,A,,,半導体向け特殊ガス/キオクシア案件,,,,,,ジャパンマテリアル(株),-4.7,2.5,2.7,23.7,,35927378000.0,34234000000.0,7905313000.0,8102000000.0,7922541000.0,8133000000.0,3050852000.0,4100976000.0,5514755000.0,5596000000.0,29.71,39.9,53.73,54.53,19.89,21.9,24.13,20.64,12.87,14.65,16.14,16.11
5807,東京特殊電線(株),T1,非鉄金属,0.0,32,no_Fe,A,,,次世代パワー半導体向け/３層絶縁電線開発/古河電気案件/海外,,,,,,東京特殊電線(株),-5.5,7.0,6.7,12.7,,18786000000.0,17755000000.0,2113000000.0,2260000000.0,2176000000.0,2322000000.0,2252000000.0,1994000000.0,1851000000.0,1187000000.0,331.57,293.6,272.56,175.02,25.78,18.01,14.71,8.78,11.99,9.53,8.42,5.22
5803,(株)フジクラ,T1,非鉄金属,1.0,32,no_Fe,A,,,電線/海外６５,,,,,,(株)フジクラ,-5.4,-87.9,-93.8,0.5,,710778000000.0,672314000000.0,27679000000.0,3346000000.0,21020000000.0,1312000000.0,12900000000.0,18359000000.0,1453000000.0,-38510000000.0,44.6,64.36,5.09,-136.58,6.36,8.37,0.67,,2.19,2.88,0.23,
5802,住友電気工業(株),T1,非鉄金属,1.0,32,no_Fe,A,,,電線大手/５G銘柄か調査検討/業績よし.低損失電線,,,,,,住友電気工業(株),-2.2,-23.5,-30.8,4.1,,3177985000000.0,3107027000000.0,166260000000.0,127216000000.0,188649000000.0,130498000000.0,107562000000.0,120328000000.0,118063000000.0,72720000000.0,137.61,154.29,151.38,93.24,7.6,7.82,7.61,4.79,3.7,4.01,3.87,2.36
5381,Ｍｉｐｏｘ(株),JQS,ガラス・土石製品,0.0,3,galass,A,,,微細研磨液体/kaigai48/黒字化/機になる,,,,,,Ｍｉｐｏｘ(株),-2.9,-39.5,-35.0,-2.3,,7558091000.0,7338000000.0,-281160000.0,-170000000.0,-253733000.0,-165000000.0,-147036000.0,265063000.0,-967247000.0,-78000000.0,-14.08,25.25,-83.74,-6.61,,5.46,,,,2.2,,
4971,メック(株),T1,化学,0.0,10,chemical,A,,7/4,イビデン向け/endがインテル,,¥2150,,,,メック(株),0.0,0.0,0.0,15.1,,10865978000.0,10865978000.0,1637100000.0,1637100000.0,1722350000.0,1722350000.0,1567618000.0,1778214000.0,1236410000.0,1236410000.0,81.77,92.85,65.16,65.16,10.75,11.72,7.68,7.68,8.14,9.56,6.18,6.18
4970,東洋合成工業(株),JQS,化学,0.0,10,chemical,A,,7/4,半導体部品fotoレジスト用感光機/チャート伸び続け/ｕ１．８,,,,,,東洋合成工業(株),6.4,40.0,31.5,8.9,,22975020000.0,24455000000.0,1559700000.0,2184000000.0,1567860000.0,2061000000.0,233286000.0,863058000.0,1171026000.0,1852000000.0,29.39,108.73,147.54,233.33,3.33,11.09,13.25,17.52,0.82,2.86,3.18,4.73
