code,name_x,market,category,is225,Ncate,cate_name2,status,単位
1301,(株)極洋,T1,水産・農林業,0.0,17.0,water_wood,E,
1332,日本水産(株),T1,水産・農林業,1.0,17.0,water_wood,E,
1333,マルハニチロ(株),T1,水産・農林業,1.0,17.0,water_wood,E,
1352,(株)ホウスイ,T1,卸売業,0.0,12.0,oroshi,E,
1376,カネコ種苗(株),T1,水産・農林業,0.0,17.0,water_wood,E,
1377,(株)サカタのタネ,T1,水産・農林業,0.0,17.0,water_wood,E,
1379,ホクト(株),T1,水産・農林業,0.0,17.0,water_wood,E,
1380,(株)秋川牧園,JQS,水産・農林業,0.0,17.0,water_wood,E,
1381,(株)アクシーズ,JQS,水産・農林業,0.0,17.0,water_wood,E,
1382,(株)ホーブ,JQS,水産・農林業,0.0,17.0,water_wood,E,
1383,ベルグアース(株),JQS,水産・農林業,0.0,17.0,water_wood,E,
1384,(株)ホクリヨウ,T1,水産・農林業,0.0,17.0,water_wood,B,
1400,ルーデン・ホールディングス(株),JQG,建設業,0.0,14.0,kensetsu,E,
1401,(株)エムビーエス,MO,建設業,0.0,14.0,kensetsu,E,
1407,(株)ウエストホールディングス,JQS,建設業,0.0,14.0,kensetsu,B,
1413,(株)ヒノキヤグループ,T1,建設業,0.0,14.0,kensetsu,E,
1414,ショーボンドホールディングス(株),T1,建設業,0.0,14.0,kensetsu,E,
1417,(株)ミライト・ホールディングス,T1,建設業,0.0,14.0,kensetsu,1,
1418,インターライフホールディングス(株),JQS,建設業,0.0,14.0,kensetsu,C,
1419,タマホーム(株),T1,建設業,0.0,14.0,kensetsu,C,
1420,サンヨーホームズ(株),T1,建設業,0.0,14.0,kensetsu,E,
1429,(株)日本アクア,T1,建設業,0.0,14.0,kensetsu,AAA,
1430,ファーストコーポレーション(株),T1,建設業,0.0,14.0,kensetsu,E,
1431,(株)Ｌｉｂ　Ｗｏｒｋ,MO,建設業,0.0,14.0,kensetsu,C,
1433,ベステラ(株),T1,建設業,0.0,14.0,kensetsu,E,
1434,ＪＥＳＣＯホールディングス(株),T2,建設業,0.0,14.0,kensetsu,E,
1435,(株)ＴＡＴＥＲＵ,T1,建設業,0.0,14.0,kensetsu,E,
1436,(株)フィット,MO,建設業,0.0,14.0,kensetsu,E,
1438,(株)岐阜造園,T2,建設業,0.0,14.0,kensetsu,E,
1439,(株)安江工務店,JQS,建設業,0.0,14.0,kensetsu,E,
1443,技研ホールディングス(株),T2,建設業,0.0,14.0,kensetsu,E,
1444,(株)ニッソウ,T2,建設業,0.0,14.0,kensetsu,E,
1446,(株)キャンディル,T1,建設業,0.0,14.0,kensetsu,E,
1447,ＩＴｂｏｏｋホールディングス(株),MO,建設業,0.0,14.0,kensetsu,C,
1448,(株)スペースバリューホールディングス,T1,建設業,0.0,14.0,kensetsu,E,
1449,(株)ＦＵＪＩジャパン,T2,建設業,0.0,14.0,kensetsu,E,
1450,田中建設工業(株),JQS,建設業,0.0,14.0,kensetsu,E,
1451,(株)ＫＨＣ,T2,建設業,0.0,14.0,kensetsu,E,
1491,中外鉱業(株),T2,非鉄金属,0.0,32.0,no_Fe,E,
1514,住石ホールディングス(株),T1,鉱業,0.0,27.0,under_ground,D,
1515,日鉄鉱業(株),T1,鉱業,0.0,27.0,under_ground,E,
1518,三井松島ホールディングス(株),T1,鉱業,0.0,27.0,under_ground,E,
1605,国際石油開発帝石(株),T1,鉱業,1.0,27.0,under_ground,E,
1662,石油資源開発(株),T1,鉱業,0.0,27.0,under_ground,E,
1663,Ｋ＆Ｏエナジーグループ(株),T1,鉱業,0.0,27.0,under_ground,E,
1711,(株)省電舎ホールディングス,T2,建設業,0.0,14.0,kensetsu,E,
1712,(株)ダイセキ環境ソリューション,T1,建設業,0.0,14.0,kensetsu,E,
1716,第一カッター興業(株),T1,建設業,0.0,14.0,kensetsu,E,
1717,明豊ファシリティワークス(株),T1,建設業,0.0,14.0,kensetsu,E,
1718,美樹工業(株),JQS,建設業,0.0,14.0,kensetsu,E,
1719,安藤ハザマ,T1,建設業,0.0,14.0,kensetsu,E,
1720,東急建設(株),T1,建設業,0.0,14.0,kensetsu,F,
1721,コムシスホールディングス(株),T1,建設業,1.0,14.0,kensetsu,AA,
1723,日本電技(株),JQS,建設業,0.0,14.0,kensetsu,E,
1724,シンクレイヤ(株),JQS,建設業,0.0,14.0,kensetsu,E,
1726,(株)ビーアールホールディングス,T1,建設業,0.0,14.0,kensetsu,E,
1728,ミサワホーム中国(株),JQS,建設業,0.0,14.0,kensetsu,E,
1730,麻生フオームクリート(株),JQS,建設業,0.0,14.0,kensetsu,E,
1734,(株)北弘電社,T2,建設業,0.0,14.0,kensetsu,E,
1736,(株)オーテック,JQS,建設業,0.0,14.0,kensetsu,E,
1737,三井金属エンジニアリング(株),T2,建設業,0.0,14.0,kensetsu,E,
1738,(株)ＮＩＴＴＯＨ,T2,建設業,0.0,14.0,kensetsu,E,
1739,シード平和(株),JQG,建設業,0.0,14.0,kensetsu,E,
1743,コーアツ工業(株),T2,建設業,0.0,14.0,kensetsu,E,
1757,クレアホールディングス(株),T2,建設業,0.0,14.0,kensetsu,E,
1758,太洋基礎工業(株),JQS,建設業,0.0,14.0,kensetsu,D,
1762,(株)高松コンストラクショングループ,T1,建設業,0.0,14.0,kensetsu,E,
1764,工藤建設(株),T2,建設業,0.0,14.0,kensetsu,E,
1766,東建コーポレーション(株),T1,建設業,0.0,14.0,kensetsu,E,
1768,(株)ソネック,T1,建設業,0.0,14.0,kensetsu,E,
1770,藤田エンジニアリング(株),JQS,建設業,0.0,14.0,kensetsu,E,
1771,日本乾溜工業(株),T2,建設業,0.0,14.0,kensetsu,E,
1773,ＹＴＬ,T1,建設業,0.0,14.0,kensetsu,E,
1775,富士古河Ｅ＆Ｃ(株),T2,建設業,0.0,14.0,kensetsu,E,
1776,三井住建道路(株),T2,建設業,0.0,14.0,kensetsu,E,
